scraped_city,state,facility,operator,street,zip_code,city_in_desc
Aurora,IL,Prologis Project Steel - Building 20,Prologis,W Beecher Rd,60554,Yorkville
Aurora,IL,Prologis Project Steel - Building 13,Prologis,W Beecher Rd,60554,Yorkville
Aurora,IL,Prologis Project Steel - Building 4,Prologis,Beecher Rd,60554,Yorkville
Aurora,IL,Prologis Project Steel - Building 24,Prologis,W Beecher Rd,60554,Yorkville
Aurora,IL,Project Cardinal - Building 9,Pioneer Development,Route 47 & Galena Rd,60554,Yorkville
Aurora,IL,Project Cardinal - Building 3,Pioneer Development,Route 47 & Galena Rd,60554,Yorkville
Aurora,IL,Project Cardinal - Building 13,Pioneer Development,Route 47 & Galena Rd,60554,Yorkville
Aurora,IL,Project Cardinal - Building 7,Pioneer Development,Route 47 & Galena Rd,60554,Yorkville
Aurora,IL,Project Cardinal - Building 5,Pioneer Development,Route 47 & Galena Rd,60554,Yorkville
Aurora,IL,Project Cardinal - Building 11,Pioneer Development,Route 47 & Galena Rd,60554,Yorkville
Aurora,IL,Project Cardinal - Building 4,Pioneer Development,Route 47 & Galena Rd,60554,Yorkville
Aurora,IL,Project Cardinal - Building 8,Pioneer Development,Route 47 & Galena Rd,60554,Yorkville
Aurora,IL,Project Cardinal - Building 10,Pioneer Development,Route 47 & Galena Rd,60554,Yorkville
Aurora,IL,Project Cardinal - Building 14,Pioneer Development,Route 47 & Galena Rd,60554,Yorkville
Aurora,IL,Project Cardinal - Building 2,Pioneer Development,Route 47 & Galena Rd,60554,Yorkville
Aurora,IL,Project Cardinal - Building 12,Pioneer Development,Route 47 & Galena Rd,60554,Yorkville
Aurora,IL,Project Cardinal - Building 6,Pioneer Development,Route 47 & Galena Rd,60554,Yorkville
Aurora,IL,CyrusOne Yorkville Campus,CyrusOne Data Centers,within,"east of Eldamain Road, north of the Burlington Northern Santa Fe railroad and Faxon Road, and west of Beecher Road.",60545
Aurora,IL,Plano Skies DC7,Savion Renewable Energy,Rock Creek Rd,60545,Plano
Aurora,IL,Plano Skies DC2,Savion Renewable Energy,Rock Creek Rd,60545,Plano
Aurora,IL,Plano Skies DC4,Savion Renewable Energy,Rock Creek Rd,60545,Plano
Aurora,IL,Plano Skies DC6,Savion Renewable Energy,Rock Creek Rd,60545,Plano
Aurora,IL,Plano Skies DC5,Savion Renewable Energy,Rock Creek Rd,60545,Plano
Aurora,IL,Plano Skies DC3,Savion Renewable Energy,Rock Creek Rd,60545,Plano
Aurora,IL,Plano Skies DC1,Savion Renewable Energy,Rock Creek Rd,60545,Plano
Aurora,IL,CyrusOne Yorkville - Building 7,CyrusOne Data Centers,within,"east of Eldamain Road, north of the Burlington Northern Santa Fe railroad and Faxon Road, and west of Beecher Road.",60545
Aurora,IL,CyrusOne Yorkville - Building 6,CyrusOne Data Centers,within,"east of Eldamain Road, north of the Burlington Northern Santa Fe railroad and Faxon Road, and west of Beecher Road.",60545
Aurora,IL,CyrusOne Yorkville - Building 5,CyrusOne Data Centers,within,"east of Eldamain Road, north of the Burlington Northern Santa Fe railroad and Faxon Road, and west of Beecher Road.",60545
Aurora,IL,CyrusOne Yorkville - Building 3,CyrusOne Data Centers,within,"east of Eldamain Road, north of the Burlington Northern Santa Fe railroad and Faxon Road, and west of Beecher Road.",60545
Aurora,IL,CyrusOne Yorkville - Building 2,CyrusOne Data Centers,within,"east of Eldamain Road, north of the Burlington Northern Santa Fe railroad and Faxon Road, and west of Beecher Road.",60545
Aurora,IL,CyrusOne Yorkville - Building 1,CyrusOne Data Centers,within,"east of Eldamain Road, north of the Burlington Northern Santa Fe railroad and Faxon Road, and west of Beecher Road.",60545
Aurora,IL,CyrusOne Yorkville - Building 9,CyrusOne Data Centers,within,"east of Eldamain Road, north of the Burlington Northern Santa Fe railroad and Faxon Road, and west of Beecher Road.",60545
Aurora,IL,CyrusOne Yorkville - Building 8,CyrusOne Data Centers,within,"east of Eldamain Road, north of the Burlington Northern Santa Fe railroad and Faxon Road, and west of Beecher Road.",60545
Aurora,IL,CyrusOne Yorkville - Building 4,CyrusOne Data Centers,within,"east of Eldamain Road, north of the Burlington Northern Santa Fe railroad and Faxon Road, and west of Beecher Road.",60545
Aurora,IL,US Signal Aurora IL02,"US Signal Company, LLC",4267 Meridian Parkway,60504,Aurora
Aurora,IL,Project Cardinal - Building 1,Pioneer Development,Route 47 & Galena Rd,60554,Yorkville
Aurora,IL,Project Cardinal,Pioneer Development,Route 47 & Galena Rd,60554,Yorkville
