giCity_x,Operator,Address,Zipcode,GEOID20,CLASSFP20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,RegionID,SizeRank,RegionType,State,City_y,Metro,CountyName,year,hval,hval_yrbefore,hval_yrafter
Chicago,Iron Mountain Data Centers,1680 Touhy Avenue,60018,60018.0,B5,G6350,S,42944312.0,418357.0,41.9788715,-87.894342,84287.0,3752.0,zip,IL,Des Plaines,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2023,311565.349903281,299446.65614736004,336976.8079034884
Chicago,DataBank,800 E Business Center Dr,60056,60056.0,B5,G6350,S,28141849.0,11685.0,42.0653782,-87.9347101,84317.0,560.0,zip,IL,Mount Prospect,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2016,274721.9887534774,259870.63674235277,286537.4501427314
Chicago,Meta,1550 Metaverse Wy,60115,60115.0,B5,G6350,S,209867475.0,858238.0,41.9012633,-88.7615501,84368.0,1443.0,zip,IL,Dekalb,"Chicago-Naperville-Elgin, IL-IN-WI",DeKalb County,2020,160686.62024517742,156081.215968069,178695.34946548034
Chicago,Digital Realty,2425-2553 Edgington St,60131,60131.0,B5,G6350,S,14080490.0,0.0,41.937783,-87.883025,84382.0,5727.0,zip,IL,Franklin Park,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2013,122272.44174974858,114321.356866783,140781.23149173474
Chicago,TierPoint,9333 West Grand Ave.,60131,60131.0,B5,G6350,S,14080490.0,0.0,41.937783,-87.883025,84382.0,5727.0,zip,IL,Franklin Park,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2013,122272.44174974858,114321.356866783,140781.23149173474
Chicago,"NTT DATA, Inc.",275 Pierce Rd,60143,60143.0,B5,G6350,S,18050357.0,581653.0,41.9739705,-88.0210838,84394.0,9189.0,zip,IL,Itasca,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,2020,321202.053279658,317608.4458185733,343686.883831663
Chicago,Digital Fortress / Wovering Trading,360 E 22nd St.,60148,60148.0,B5,G6350,S,35799858.0,694099.0,41.8762575,-88.0187544,84399.0,796.0,zip,IL,Lombard,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,2015,227708.96371430036,221791.0404570956,233977.32732015048
Chicago,Amazon,"Portage, IN",60148,60148.0,B5,G6350,S,35799858.0,694099.0,41.8762575,-88.0187544,84399.0,796.0,zip,IL,Lombard,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,2023,314621.9389028909,306212.34399258334,336388.9359073918
Chicago,Microsoft,601-605 Northwest Ave,60164,60164.0,B5,G6350,S,12721258.0,0.0,41.9166905,-87.9011822,84413.0,6283.0,zip,IL,Northlake,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2014,124864.61840262834,105601.90277611512,134150.89763076857
Chicago,Digital Realty,505 North Railroad Avenue,60164,60164.0,B5,G6350,S,12721258.0,0.0,41.9166905,-87.9011822,84413.0,6283.0,zip,IL,Northlake,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2018,181938.18684312017,165397.8816950571,189013.08458607655
Chicago,Aligned Data Centers,505 Northwest Avenue,60164,60164.0,B5,G6350,S,12721258.0,0.0,41.9166905,-87.9011822,84413.0,6283.0,zip,IL,Northlake,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2021,228065.79038884133,199701.06782980752,250830.1826319718
Chicago,Element Critical,341 Haynes Dr,60191,60191.0,B5,G6350,S,13498323.0,320519.0,41.964839,-87.9811067,84436.0,8071.0,zip,IL,Wood Dale,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,2007,269881.48201921623,267142.7129582022,250413.97255273667
Chicago,Element Critical,711 N. Edgewood Ave.,60191,60191.0,B5,G6350,S,13498323.0,320519.0,41.964839,-87.9811067,84436.0,8071.0,zip,IL,Wood Dale,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,2008,250413.97255273667,269881.48201921623,221254.15679432236
Chicago,Edged Energy,2725 Bilter Rd,60502,60502.0,B5,G6350,S,28927399.0,486760.0,41.7875217,-88.2600171,84538.0,5224.0,zip,IL,Aurora,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,2024,386964.3960080263,359112.4557586996,401825.3994320011
Chicago,"NaviSite, Inc. / NYI",800 Jorie Blvd,60523,60523.0,B5,G6350,S,23189884.0,865318.0,41.8363949,-87.9531732,84557.0,9980.0,zip,IL,Oak Brook,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,2010,624771.5796429164,643116.3789229739,577993.4909048299
