"","unique(chicagometro_housing$ZCTA5CE20)"
"454","60067"
"455","60008"
"456","60173"
"457","60195"
"458","60169"
"459","60107"
"460","60194"
"461","60016"
"462","60462"
"463","60804"
"464","60659"
"465","60626"
"466","60660"
"467","60645"
"468","60640"
"469","60613"
"470","60625"
"471","60618"
"472","60614"
"473","60622"
"474","60647"
"475","60651"
"476","60612"
"477","60624"
"478","60607"
"479","60608"
"480","60616"
"481","60653"
"482","60609"
"483","60644"
"484","60453"
"485","60805"
"486","60456"
"487","60415"
"488","60546"
"489","60155"
"490","60513"
"491","60162"
"492","60104"
"493","60402"
"494","60629"
"495","60459"
"496","60652"
"497","60636"
"498","60638"
"499","60628"
"500","60619"
"501","60655"
"502","60803"
"503","60406"
"504","60472"
"505","60445"
"506","60426"
"507","60428"
"508","60469"
"509","60633"
"510","60409"
"511","60419"
"512","60827"
"513","60707"
"514","60639"
"515","60302"
"516","60305"
"517","60076"
"518","60077"
"519","60053"
"520","60005"
"521","60056"
"522","60070"
"523","60646"
"524","60712"
"525","60642"
"526","60202"
"527","60611"
"528","60610"
"529","60654"
"530","60301"
"531","60304"
"532","60130"
"533","60657"
"534","60615"
"535","60621"
"536","60637"
"537","60605"
"538","60606"
"539","60661"
"540","60455"
"541","60425"
"542","60438"
"543","60429"
"544","60430"
"545","60473"
"546","60476"
"547","60558"
"548","60141"
"549","60153"
"550","60461"
"551","60501"
"552","60617"
"553","60478"
"554","60464"
"555","60463"
"556","60203"
"557","60201"
"558","60714"
"559","60458"
"560","60457"
"561","60482"
"562","60418"
"563","60534"
"564","60422"
"565","60465"
"566","60601"
"567","60602"
"568","60603"
"569","60604"
"570","60025"
"571","60091"
"572","60026"
"573","60649"
"574","60160"
"575","46327"
"576","46394"
"577","46321"
"578","60165"
"579","60068"
"580","60452"
"581","60093"
"582","46324"
"583","60208"
"584","60043"
"585","46320"
"586","60029"
"587","60560"
"588","60536"
"589","46341"
"590","46347"
"591","46392"
"592","46310"
"593","47978"
"594","47922"
"595","47943"
"596","47995"
"597","47959"
"598","47977"
"599","47948"
"600","47946"
"601","46348"
"602","46374"
"603","47957"
"604","46405"
"605","46402"
"606","46368"
"607","46403"
"608","46342"
"609","46410"
"610","46385"
"611","46307"
"612","46375"
"613","46322"
"614","46407"
"615","46409"
"616","46373"
"617","46319"
"618","46406"
"619","46408"
"620","46323"
"621","46312"
"622","46381"
"623","46404"
"624","46379"
"625","46377"
"626","46360"
"627","49117"
"628","46350"
"629","46301"
"630","46532"
"631","46574"
"632","46365"
"633","46371"
"634","46382"
"635","46345"
"636","46346"
"637","46552"
"638","46554"
"639","49113"
"640","49128"
"641","46391"
"642","46383"
"643","46390"
"644","46340"
"645","46366"
"646","46534"
"647","46304"
"648","46393"
"649","46302"
"650","47964"
"651","53143"
"652","53140"
"653","53144"
"654","53168"
"655","53105"
"656","53139"
"657","53170"
"658","53182"
"659","53177"
"660","53403"
