scraped_city,state,facility,operator,street,zip_code,city_in_desc
New York,NY,365 Data Centers - Long Island,365 Data Centers,500 Commack Road,j11725,Commack
New York,NY,Colocation America NYDC1,Colocation America,60 Hudson Street,10013,New York
New York,NY,EXA DC New York,EXA Infrastructure,60 Hudson Street,10013,New York
New York,NY,Colocation America NYDC2,Colocation America,111 8th Avenue,10011,New York
New York,NY,Lumen New York 1,Lumen,111 8th Avenue,10011,New York
New York,NY,Crown Castle New York - 60 Hudson St,CROWN CASTLE,60 Hudson St,10013,New York
New York,NY,TeliaSonera NYKEC,Telia Company,111 8th Avenue,10011,New York
New York,NY,AT&T Secaucus,AT&T,15 Enterprise Ave N,07094,Secaucus
New York,NY,AT&T New York,AT&T,811 10th Avenue,10019,New York
New York,NY,32 Avenue of the Americas,Rudin Management Company,32 Avenue of the Americas (6th Ave),10019,New York
New York,NY,New York Connect Data Center,"New York Connect.Net, Ltd.",111 8th Avenue,10011,New York
New York,NY,NaviSite New York,"NaviSite, Inc.",395 Hudson St,10014,New York
New York,NY,LG Networks NYC Node,Lumen,150 Varick Street,10012,New York
New York,NY,TELEHOUSE Briad Financial Center,Telehouse America,33 Whitehall Street,10004,New York
New York,NY,Tata Communications New York,Tata Communications,32 6th Ave,10013,New York
New York,NY,Metanet New York,"Metanet, Inc.",111 8th Avenue,10011,New York
New York,NY,N/A,N/A,N/A,N/A,N/A
Los Angeles,CA,N/A,N/A,N/A,N/A,N/A
Los Angeles,CA,600 West 7th Street (LAX10),Digital Realty,600 West 7th Street,90017,Los Angeles
Los Angeles,CA,2260 E El Segundo Blvd (LAX12),Digital Realty,2260 East El Segundo Boulevard,90245,El Segundo
Los Angeles,CA,Hivelocity - Los Angeles 2,Hivelocity,600 W. 7th St,90017,Los Angeles
Los Angeles,CA,Hivelocity - Los Angeles 1,Hivelocity,624 S Grand Ave,90017,Los Angeles
Los Angeles,CA,4400 Pacific Blvd,Digital Realty,4400 Pacific Blvd,90058,Vernon
Los Angeles,CA,Serverfarm Los Angeles Data Center LAX1,Serverfarm,444 North Nash Street,90245,El Segundo
Los Angeles,CA,Centersquare - Los Angeles LAX5-A,Csquare,2681 Kelvin Ave,92614,Irvine
Los Angeles,CA,Prime Los Angeles,Prime Data Centers,4701 S Santa Fe Ave,90058,Vernon
Los Angeles,CA,Colocation America LADC3,Colocation America,600 W. 7th St,90017,Los Angeles
Los Angeles,CA,West 7 Center,Rising Realty Partners,1200 West 7th Street,90017,Los Angeles
Los Angeles,CA,One Wilshire,GI Property Management,624 South Grand Avenue,90017,Los Angeles
Los Angeles,CA,Equinix LA2,Equinix,818 W 7th Street,90017,Los Angeles
Los Angeles,CA,Cogent Data Center - Los Angeles,"Cogent Communications, Inc.",530 W 6th St,90017,Los Angeles
Los Angeles,CA,Cogent Data Center - Pasadena,"Cogent Communications, Inc.",2947  Bradley Street,91107,Pasadena
Los Angeles,CA,DataBank LAX1 - Los Angeles One Wilshire,DataBank,624 South Grand Avenue,90017,Los Angeles
Los Angeles,CA,Colocation America LADC4,Colocation America,530 W. 6th St,90017,Los Angeles
Los Angeles,CA,Converge Technology Solutions Data Center,Converge Technology Solutions,30077 Agoura Ct,91301,Agoura Hills
Los Angeles,CA,Colocation America LADC2,Colocation America,707 Wilshire Blvd,90017,Los Angeles
Los Angeles,CA,Colocation America LADC5,Colocation America,650 S. Grand Ave,90017,Los Angeles
