RegionName,state,utility_name,ownership,service_type,avg_price_2021,avg_price_2022,avg_price_2023,avg_price_2024,comm_rate_2021,comm_rate_2022,comm_rate_2023,comm_rate_2024,ind_rate_2021,ind_rate_2022,ind_rate_2023,ind_rate_2024,pct_change_2021,pct_change_2022,pct_change_2023,pct_change_2024,res_rate_2021,res_rate_2022,res_rate_2023,res_rate_2024
10001,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,1979264.99326767,1975719.61490616,1812137.12377622,1743603.63740198,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,-11.3540373968191,-0.179126007561659,-8.27964099236377,-3.7819150369499,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
10002,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,1140715.96679626,1123920.24796212,1024201.4904472,961558.013895212,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,5.68147433362279,-1.47238395209911,-8.87240511021414,-6.11632351019452,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
10003,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,1623946.47706162,1687486.27641555,1358811.49113423,1285890.82270624,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,4.65086259217567,3.91267817329203,-19.4771827110485,-5.36650366174951,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
10004,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,1310672.16025196,1238051.85405369,1134159.30052692,1119756.79663488,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,-3.91867144845781,-5.54069189844665,-8.39161568124915,-1.26988368259607,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
10005,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,1181356.83741031,1195810.46284616,1128666.13630773,1083319.2130261,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,-3.99438985546313,1.22347668190874,-5.61496396164762,-4.01774464767597,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
10006,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,1137021.08087317,1169555.33765398,1100659.38950899,1064145.42200143,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,-4.50778133455022,2.86135915402961,-5.89078138732575,-3.31746295498825,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
10007,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,2804627.89088572,3090194.63359802,3060862.99274764,2944428.04741384,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,-0.487082551609185,10.18198327273,-0.949184253039309,-3.80399075717157,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
10009,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,902423.367451831,1075400.46997695,997052.203496323,937209.611601031,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,3.89976208592286,19.1680655404069,-7.28549676775779,-6.00195172183001,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
10010,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,1464151.26262779,1459139.99212632,1286876.81735723,1237343.21561224,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,-3.51585218728958,-0.342264534368003,-11.805801752994,-3.84913311646408,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
10011,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,1984799.01351834,2095153.76995409,1689025.41577369,1523119.54095355,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,1.68768482531186,5.55999653789286,-19.3841788609772,-9.82258012643013,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
10012,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,2825184.53636503,3074359.83704671,2758827.7988601,2544040.10365379,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,-0.185747761384473,8.81978849432187,-10.2633411477854,-7.78546944086386,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
10013,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,3404710.95234717,3731358.46656207,3463024.66369439,3312370.56544645,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,-4.26979763564333,9.59398664928414,-7.19131665510847,-4.35036168894101,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
10014,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,2198093.74835662,2339146.29940298,1939336.51618188,1764942.63133751,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,-9.67566574500987,6.41703981696928,-17.0921238796884,-8.99245094336224,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
10016,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,977226.772754534,988465.962600508,900931.897862003,898913.637223051,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,-1.89718900590601,1.1501107173204,-8.85554668045585,-0.224019223177887,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
10017,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,831700.204652255,829810.978051915,701939.891339781,685698.321867803,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,-2.83431595463726,-0.227152354871615,-15.4096643807156,-2.31381200475414,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
10018,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,1588134.56119774,1549329.06484448,1448742.99211744,1413412.19686577,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,-6.29406842757241,-2.44346400496451,-6.49223428446647,-2.43872070090451,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
10019,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,1227508.81923386,1266679.54105565,1144909.68124914,1101995.54441336,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,-1.95639411177253,3.191074573806,-9.61331227510276,-3.74825521511481,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
10021,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,1692635.68231621,1753382.99940201,1405576.37886782,1320502.2043874,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,7.05384148925481,3.58891861494239,-19.8363176016202,-6.05261839622972,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
10022,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,1187324.53676045,1186831.41669189,1034465.09158225,1024076.05922694,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,-3.78829820054025,-0.0415320372222421,-12.8380764923076,-1.00429027908704,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
10023,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,1620939.78514532,1703942.00028615,1406090.2944581,1333881.39256677,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,8.94299656923041,5.12062298066131,-17.4801551800491,-5.13543846906082,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
10024,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,1608660.93017409,1816714.5155248,1522241.95229675,1418579.25636787,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,6.23581398883509,12.9333398634969,-16.209071965442,-6.80986986152065,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
10025,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,1101240.82114759,1167510.95249218,1027852.11924457,1015790.91910618,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,0.0410195012755205,6.01776923557309,-11.9621004796135,-1.17343729828145,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
10026,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,836079.339999683,863625.273711236,826983.668792243,819013.668262687,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,-6.34352831300853,3.29465547032453,-4.24276662973676,-0.963743400301425,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
10027,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,959740.276279869,977954.063071132,858915.308099767,815672.180641606,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,-5.103522544566,1.89778289412454,-12.1722235702504,-5.03462064890076,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
10028,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,1527036.93788911,1651953.58450141,1403175.69863857,1338486.00873107,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,6.38061864542641,8.18032907474879,-15.0596171827631,-4.61023448241434,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
10029,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,855266.262502247,897281.259268975,817264.176775241,769250.61600184,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,13.5652585348356,4.91250486647332,-8.91772581530622,-5.87491317224405,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
10030,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,662898.353106677,695005.593538787,684459.509438448,691353.150637093,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,-5.76799475690236,4.84346359915339,-1.51740996020482,1.00716566920081,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
10031,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,548280.325639738,589695.129246211,546282.65730597,526000.126111916,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,-4.75772892233161,7.55358193058449,-7.3618501810815,-3.71282721916867,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
