GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,U2TE001,NAME_M,U2TM001
"G81076","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81076",,,,,,,"86000US81076",,"ZCTA5 81076",588,"ZCTA5 81076",255
"G81077","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81077",,,,,,,"86000US81077",,"ZCTA5 81077",683,"ZCTA5 81077",176
"G81081","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81081",,,,,,,"86000US81081",,"ZCTA5 81081",435,"ZCTA5 81081",435
"G81082","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81082",,,,,,,"86000US81082",,"ZCTA5 81082",732,"ZCTA5 81082",44
"G81084","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81084",,,,,,,"86000US81084",,"ZCTA5 81084",325,"ZCTA5 81084",148
"G81087","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81087",,,,,,,"86000US81087",,"ZCTA5 81087",406,"ZCTA5 81087",59
"G81089","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81089",,,,,,,"86000US81089",,"ZCTA5 81089",637,"ZCTA5 81089",68
"G81090","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81090",,,,,,,"86000US81090",,"ZCTA5 81090",544,"ZCTA5 81090",166
"G81091","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81091",,,,,,,"86000US81091",,"ZCTA5 81091",866,"ZCTA5 81091",267
"G81092","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81092",,,,,,,"86000US81092",,"ZCTA5 81092",755,"ZCTA5 81092",93
"G81101","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81101",,,,,,,"86000US81101",,"ZCTA5 81101",656,"ZCTA5 81101",70
"G81120","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81120",,,,,,,"86000US81120",,"ZCTA5 81120",456,"ZCTA5 81120",136
"G81121","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81121",,,,,,,"86000US81121",,"ZCTA5 81121",669,"ZCTA5 81121",148
"G81122","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81122",,,,,,,"86000US81122",,"ZCTA5 81122",1185,"ZCTA5 81122",149
"G81123","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81123",,,,,,,"86000US81123",,"ZCTA5 81123",426,"ZCTA5 81123",55
"G81124","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81124",,,,,,,"86000US81124",,"ZCTA5 81124",475,"ZCTA5 81124",263
"G81125","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81125",,,,,,,"86000US81125",,"ZCTA5 81125",593,"ZCTA5 81125",54
"G81126","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81126",,,,,,,"86000US81126",,"ZCTA5 81126",375,"ZCTA5 81126",393
"G81128","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81128",,,,,,,"86000US81128",,"ZCTA5 81128",1153,"ZCTA5 81128",1108
"G81129","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81129",,,,,,,"86000US81129",,"ZCTA5 81129",281,"ZCTA5 81129",38
"G81130","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81130",,,,,,,"86000US81130",,"ZCTA5 81130",616,"ZCTA5 81130",100
"G81131","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81131",,,,,,,"86000US81131",,"ZCTA5 81131",810,"ZCTA5 81131",56
"G81132","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81132",,,,,,,"86000US81132",,"ZCTA5 81132",670,"ZCTA5 81132",47
"G81133","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81133",,,,,,,"86000US81133",,"ZCTA5 81133",617,"ZCTA5 81133",246
"G81136","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81136",,,,,,,"86000US81136",,"ZCTA5 81136",638,"ZCTA5 81136",60
"G81137","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81137",,,,,,,"86000US81137",,"ZCTA5 81137",839,"ZCTA5 81137",84
"G81138","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81138",,,,,,,"86000US81138",,"ZCTA5 81138",.,"ZCTA5 81138",.
"G81140","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81140",,,,,,,"86000US81140",,"ZCTA5 81140",667,"ZCTA5 81140",71
"G81141","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81141",,,,,,,"86000US81141",,"ZCTA5 81141",546,"ZCTA5 81141",73
"G81143","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81143",,,,,,,"86000US81143",,"ZCTA5 81143",625,"ZCTA5 81143",199
"G81144","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81144",,,,,,,"86000US81144",,"ZCTA5 81144",678,"ZCTA5 81144",46
"G81146","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81146",,,,,,,"86000US81146",,"ZCTA5 81146",741,"ZCTA5 81146",197
"G81147","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81147",,,,,,,"86000US81147",,"ZCTA5 81147",964,"ZCTA5 81147",110
"G81148","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81148",,,,,,,"86000US81148",,"ZCTA5 81148",454,"ZCTA5 81148",174
"G81149","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81149",,,,,,,"86000US81149",,"ZCTA5 81149",528,"ZCTA5 81149",93
"G81151","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81151",,,,,,,"86000US81151",,"ZCTA5 81151",504,"ZCTA5 81151",155
"G81152","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81152",,,,,,,"86000US81152",,"ZCTA5 81152",414,"ZCTA5 81152",111
"G81154","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81154",,,,,,,"86000US81154",,"ZCTA5 81154",771,"ZCTA5 81154",177
"G81155","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81155",,,,,,,"86000US81155",,"ZCTA5 81155",652,"ZCTA5 81155",274
"G81201","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81201",,,,,,,"86000US81201",,"ZCTA5 81201",770,"ZCTA5 81201",73
"G81210","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81210",,,,,,,"86000US81210",,"ZCTA5 81210",523,"ZCTA5 81210",80
"G81211","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81211",,,,,,,"86000US81211",,"ZCTA5 81211",957,"ZCTA5 81211",82
"G81212","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81212",,,,,,,"86000US81212",,"ZCTA5 81212",748,"ZCTA5 81212",47
"G81220","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81220",,,,,,,"86000US81220",,"ZCTA5 81220",1692,"ZCTA5 81220",623
"G81221","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81221",,,,,,,"86000US81221",,"ZCTA5 81221",688,"ZCTA5 81221",86
"G81222","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81222",,,,,,,"86000US81222",,"ZCTA5 81222",707,"ZCTA5 81222",212
"G81223","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81223",,,,,,,"86000US81223",,"ZCTA5 81223",866,"ZCTA5 81223",244
"G81224","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81224",,,,,,,"86000US81224",,"ZCTA5 81224",1437,"ZCTA5 81224",186
"G81225","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81225",,,,,,,"86000US81225",,"ZCTA5 81225",957,"ZCTA5 81225",380
"G81226","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81226",,,,,,,"86000US81226",,"ZCTA5 81226",754,"ZCTA5 81226",77
"G81227","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81227",,,,,,,"86000US81227",,"ZCTA5 81227",.,"ZCTA5 81227",.
