GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,NAEE001,NAME_M,NAEM001
"G91411","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"91411",,,,,,,"86000US91411",,"ZCTA5 91411",1255,"ZCTA5 91411",54
"G91423","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"91423",,,,,,,"86000US91423",,"ZCTA5 91423",1714,"ZCTA5 91423",56
"G91436","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"91436",,,,,,,"86000US91436",,"ZCTA5 91436",3346,"ZCTA5 91436",268
"G91501","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"91501",,,,,,,"86000US91501",,"ZCTA5 91501",1507,"ZCTA5 91501",56
"G91502","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"91502",,,,,,,"86000US91502",,"ZCTA5 91502",1232,"ZCTA5 91502",58
"G91504","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"91504",,,,,,,"86000US91504",,"ZCTA5 91504",1633,"ZCTA5 91504",84
"G91505","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"91505",,,,,,,"86000US91505",,"ZCTA5 91505",1634,"ZCTA5 91505",50
"G91506","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"91506",,,,,,,"86000US91506",,"ZCTA5 91506",1695,"ZCTA5 91506",135
"G91601","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"91601",,,,,,,"86000US91601",,"ZCTA5 91601",1245,"ZCTA5 91601",39
"G91602","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"91602",,,,,,,"86000US91602",,"ZCTA5 91602",1510,"ZCTA5 91602",77
"G91604","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"91604",,,,,,,"86000US91604",,"ZCTA5 91604",1875,"ZCTA5 91604",77
"G91605","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"91605",,,,,,,"86000US91605",,"ZCTA5 91605",1134,"ZCTA5 91605",31
"G91606","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"91606",,,,,,,"86000US91606",,"ZCTA5 91606",1151,"ZCTA5 91606",33
"G91607","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"91607",,,,,,,"86000US91607",,"ZCTA5 91607",1370,"ZCTA5 91607",43
"G91608","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"91608",,,,,,,"86000US91608",,"ZCTA5 91608",.,"ZCTA5 91608",.
"G91701","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"91701",,,,,,,"86000US91701",,"ZCTA5 91701",1906,"ZCTA5 91701",83
"G91702","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"91702",,,,,,,"86000US91702",,"ZCTA5 91702",1340,"ZCTA5 91702",30
"G91706","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"91706",,,,,,,"86000US91706",,"ZCTA5 91706",1349,"ZCTA5 91706",34
"G91708","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"91708",,,,,,,"86000US91708",,"ZCTA5 91708",3977,"ZCTA5 91708",463
"G91709","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"91709",,,,,,,"86000US91709",,"ZCTA5 91709",2323,"ZCTA5 91709",59
"G91710","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"91710",,,,,,,"86000US91710",,"ZCTA5 91710",1784,"ZCTA5 91710",71
"G91711","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"91711",,,,,,,"86000US91711",,"ZCTA5 91711",1722,"ZCTA5 91711",116
"G91722","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"91722",,,,,,,"86000US91722",,"ZCTA5 91722",1584,"ZCTA5 91722",61
"G91723","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"91723",,,,,,,"86000US91723",,"ZCTA5 91723",1279,"ZCTA5 91723",81
"G91724","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"91724",,,,,,,"86000US91724",,"ZCTA5 91724",1679,"ZCTA5 91724",72
"G91730","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"91730",,,,,,,"86000US91730",,"ZCTA5 91730",1567,"ZCTA5 91730",38
"G91731","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"91731",,,,,,,"86000US91731",,"ZCTA5 91731",1072,"ZCTA5 91731",40
"G91732","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"91732",,,,,,,"86000US91732",,"ZCTA5 91732",1163,"ZCTA5 91732",30
"G91733","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"91733",,,,,,,"86000US91733",,"ZCTA5 91733",1082,"ZCTA5 91733",34
"G91737","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"91737",,,,,,,"86000US91737",,"ZCTA5 91737",2180,"ZCTA5 91737",140
"G91739","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"91739",,,,,,,"86000US91739",,"ZCTA5 91739",2749,"ZCTA5 91739",181
"G91740","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"91740",,,,,,,"86000US91740",,"ZCTA5 91740",1644,"ZCTA5 91740",87
"G91741","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"91741",,,,,,,"86000US91741",,"ZCTA5 91741",1777,"ZCTA5 91741",104
