GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,NAEE001,NAME_M,NAEM001
"G00601","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00601",,,,,,,"86000US00601",,"ZCTA5 00601",196,"ZCTA5 00601",16
"G00602","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00602",,,,,,,"86000US00602",,"ZCTA5 00602",190,"ZCTA5 00602",9
"G00603","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00603",,,,,,,"86000US00603",,"ZCTA5 00603",215,"ZCTA5 00603",15
"G00606","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00606",,,,,,,"86000US00606",,"ZCTA5 00606",128,"ZCTA5 00606",16
"G00610","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00610",,,,,,,"86000US00610",,"ZCTA5 00610",172,"ZCTA5 00610",15
"G00612","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00612",,,,,,,"86000US00612",,"ZCTA5 00612",260,"ZCTA5 00612",24
"G00616","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00616",,,,,,,"86000US00616",,"ZCTA5 00616",198,"ZCTA5 00616",28
"G00617","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00617",,,,,,,"86000US00617",,"ZCTA5 00617",279,"ZCTA5 00617",40
"G00622","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00622",,,,,,,"86000US00622",,"ZCTA5 00622",162,"ZCTA5 00622",36
"G00623","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00623",,,,,,,"86000US00623",,"ZCTA5 00623",234,"ZCTA5 00623",26
"G00624","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00624",,,,,,,"86000US00624",,"ZCTA5 00624",193,"ZCTA5 00624",11
"G00627","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00627",,,,,,,"86000US00627",,"ZCTA5 00627",215,"ZCTA5 00627",15
"G00631","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00631",,,,,,,"86000US00631",,"ZCTA5 00631",160,"ZCTA5 00631",38
"G00637","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00637",,,,,,,"86000US00637",,"ZCTA5 00637",193,"ZCTA5 00637",12
"G00638","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00638",,,,,,,"86000US00638",,"ZCTA5 00638",200,"ZCTA5 00638",20
"G00641","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00641",,,,,,,"86000US00641",,"ZCTA5 00641",199,"ZCTA5 00641",14
"G00646","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00646",,,,,,,"86000US00646",,"ZCTA5 00646",435,"ZCTA5 00646",75
"G00647","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00647",,,,,,,"86000US00647",,"ZCTA5 00647",147,"ZCTA5 00647",19
"G00650","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00650",,,,,,,"86000US00650",,"ZCTA5 00650",212,"ZCTA5 00650",33
"G00652","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00652",,,,,,,"86000US00652",,"ZCTA5 00652",201,"ZCTA5 00652",42
"G00653","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00653",,,,,,,"86000US00653",,"ZCTA5 00653",188,"ZCTA5 00653",15
"G00656","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00656",,,,,,,"86000US00656",,"ZCTA5 00656",189,"ZCTA5 00656",13
"G00659","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00659",,,,,,,"86000US00659",,"ZCTA5 00659",228,"ZCTA5 00659",14
"G00660","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00660",,,,,,,"86000US00660",,"ZCTA5 00660",341,"ZCTA5 00660",47
"G00662","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00662",,,,,,,"86000US00662",,"ZCTA5 00662",236,"ZCTA5 00662",23
"G00664","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00664",,,,,,,"86000US00664",,"ZCTA5 00664",207,"ZCTA5 00664",25
"G00667","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00667",,,,,,,"86000US00667",,"ZCTA5 00667",204,"ZCTA5 00667",19
"G00669","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00669",,,,,,,"86000US00669",,"ZCTA5 00669",226,"ZCTA5 00669",15
"G00670","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00670",,,,,,,"86000US00670",,"ZCTA5 00670",201,"ZCTA5 00670",21
"G00674","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00674",,,,,,,"86000US00674",,"ZCTA5 00674",250,"ZCTA5 00674",25
"G00676","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00676",,,,,,,"86000US00676",,"ZCTA5 00676",187,"ZCTA5 00676",12
"G00677","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00677",,,,,,,"86000US00677",,"ZCTA5 00677",201,"ZCTA5 00677",23
"G00678","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00678",,,,,,,"86000US00678",,"ZCTA5 00678",194,"ZCTA5 00678",22
"G00680","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00680",,,,,,,"86000US00680",,"ZCTA5 00680",240,"ZCTA5 00680",17
"G00682","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00682",,,,,,,"86000US00682",,"ZCTA5 00682",265,"ZCTA5 00682",23
"G00683","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00683",,,,,,,"86000US00683",,"ZCTA5 00683",158,"ZCTA5 00683",15
"G00685","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00685",,,,,,,"86000US00685",,"ZCTA5 00685",188,"ZCTA5 00685",9
"G00687","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00687",,,,,,,"86000US00687",,"ZCTA5 00687",235,"ZCTA5 00687",22
"G00688","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00688",,,,,,,"86000US00688",,"ZCTA5 00688",177,"ZCTA5 00688",18
"G00690","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00690",,,,,,,"86000US00690",,"ZCTA5 00690",408,"ZCTA5 00690",126
"G00692","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00692",,,,,,,"86000US00692",,"ZCTA5 00692",266,"ZCTA5 00692",21
"G00693","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00693",,,,,,,"86000US00693",,"ZCTA5 00693",281,"ZCTA5 00693",16
"G00694","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00694",,,,,,,"86000US00694",,"ZCTA5 00694",218,"ZCTA5 00694",119
"G00698","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00698",,,,,,,"86000US00698",,"ZCTA5 00698",198,"ZCTA5 00698",13
"G00703","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00703",,,,,,,"86000US00703",,"ZCTA5 00703",195,"ZCTA5 00703",16
"G00704","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00704",,,,,,,"86000US00704",,"ZCTA5 00704",363,"ZCTA5 00704",107
"G00705","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00705",,,,,,,"86000US00705",,"ZCTA5 00705",225,"ZCTA5 00705",14
"G00707","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00707",,,,,,,"86000US00707",,"ZCTA5 00707",195,"ZCTA5 00707",28
"G00714","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00714",,,,,,,"86000US00714",,"ZCTA5 00714",278,"ZCTA5 00714",26
"G00715","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00715",,,,,,,"86000US00715",,"ZCTA5 00715",192,"ZCTA5 00715",15
"G00716","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00716",,,,,,,"86000US00716",,"ZCTA5 00716",334,"ZCTA5 00716",29
"G00717","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00717",,,,,,,"86000US00717",,"ZCTA5 00717",331,"ZCTA5 00717",45
"G00718","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00718",,,,,,,"86000US00718",,"ZCTA5 00718",255,"ZCTA5 00718",30
"G00719","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00719",,,,,,,"86000US00719",,"ZCTA5 00719",189,"ZCTA5 00719",13
"G00720","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00720",,,,,,,"86000US00720",,"ZCTA5 00720",177,"ZCTA5 00720",12
"G00723","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00723",,,,,,,"86000US00723",,"ZCTA5 00723",221,"ZCTA5 00723",20
"G00725","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00725",,,,,,,"86000US00725",,"ZCTA5 00725",360,"ZCTA5 00725",28
"G00727","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00727",,,,,,,"86000US00727",,"ZCTA5 00727",603,"ZCTA5 00727",31
"G00728","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00728",,,,,,,"86000US00728",,"ZCTA5 00728",280,"ZCTA5 00728",26
"G00729","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00729",,,,,,,"86000US00729",,"ZCTA5 00729",342,"ZCTA5 00729",40
"G00730","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00730",,,,,,,"86000US00730",,"ZCTA5 00730",252,"ZCTA5 00730",22
"G00731","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00731",,,,,,,"86000US00731",,"ZCTA5 00731",162,"ZCTA5 00731",14
"G00735","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00735",,,,,,,"86000US00735",,"ZCTA5 00735",267,"ZCTA5 00735",30
"G00736","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00736",,,,,,,"86000US00736",,"ZCTA5 00736",284,"ZCTA5 00736",35
"G00738","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00738",,,,,,,"86000US00738",,"ZCTA5 00738",427,"ZCTA5 00738",35
"G00739","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00739",,,,,,,"86000US00739",,"ZCTA5 00739",273,"ZCTA5 00739",29
"G00740","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00740",,,,,,,"86000US00740",,"ZCTA5 00740",183,"ZCTA5 00740",52
"G00741","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00741",,,,,,,"86000US00741",,"ZCTA5 00741",278,"ZCTA5 00741",79
"G00745","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00745",,,,,,,"86000US00745",,"ZCTA5 00745",412,"ZCTA5 00745",39
"G00751","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00751",,,,,,,"86000US00751",,"ZCTA5 00751",208,"ZCTA5 00751",18
"G00754","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00754",,,,,,,"86000US00754",,"ZCTA5 00754",245,"ZCTA5 00754",17
"G00757","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00757",,,,,,,"86000US00757",,"ZCTA5 00757",292,"ZCTA5 00757",39
"G00765","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00765",,,,,,,"86000US00765",,"ZCTA5 00765",176,"ZCTA5 00765",22
"G00766","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00766",,,,,,,"86000US00766",,"ZCTA5 00766",176,"ZCTA5 00766",11
"G00767","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00767",,,,,,,"86000US00767",,"ZCTA5 00767",213,"ZCTA5 00767",11
"G00769","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00769",,,,,,,"86000US00769",,"ZCTA5 00769",242,"ZCTA5 00769",19
"G00771","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00771",,,,,,,"86000US00771",,"ZCTA5 00771",249,"ZCTA5 00771",31
"G00772","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00772",,,,,,,"86000US00772",,"ZCTA5 00772",172,"ZCTA5 00772",16
"G00773","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00773",,,,,,,"86000US00773",,"ZCTA5 00773",350,"ZCTA5 00773",35
"G00775","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00775",,,,,,,"86000US00775",,"ZCTA5 00775",192,"ZCTA5 00775",36
"G00777","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00777",,,,,,,"86000US00777",,"ZCTA5 00777",331,"ZCTA5 00777",78
"G00778","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00778",,,,,,,"86000US00778",,"ZCTA5 00778",515,"ZCTA5 00778",40
"G00780","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00780",,,,,,,"86000US00780",,"ZCTA5 00780",415,"ZCTA5 00780",110
"G00782","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00782",,,,,,,"86000US00782",,"ZCTA5 00782",181,"ZCTA5 00782",13
"G00783","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00783",,,,,,,"86000US00783",,"ZCTA5 00783",219,"ZCTA5 00783",17
"G00784","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00784",,,,,,,"86000US00784",,"ZCTA5 00784",315,"ZCTA5 00784",31
"G00786","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00786",,,,,,,"86000US00786",,"ZCTA5 00786",194,"ZCTA5 00786",46
"G00791","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00791",,,,,,,"86000US00791",,"ZCTA5 00791",264,"ZCTA5 00791",19
"G00794","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00794",,,,,,,"86000US00794",,"ZCTA5 00794",204,"ZCTA5 00794",24
"G00795","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00795",,,,,,,"86000US00795",,"ZCTA5 00795",247,"ZCTA5 00795",18
"G00901","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00901",,,,,,,"86000US00901",,"ZCTA5 00901",403,"ZCTA5 00901",60
"G00906","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00906",,,,,,,"86000US00906",,"ZCTA5 00906",.,"ZCTA5 00906",.
"G00907","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00907",,,,,,,"86000US00907",,"ZCTA5 00907",718,"ZCTA5 00907",37
"G00909","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00909",,,,,,,"86000US00909",,"ZCTA5 00909",489,"ZCTA5 00909",44
"G00911","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00911",,,,,,,"86000US00911",,"ZCTA5 00911",689,"ZCTA5 00911",55
"G00912","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00912",,,,,,,"86000US00912",,"ZCTA5 00912",533,"ZCTA5 00912",29
"G00913","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00913",,,,,,,"86000US00913",,"ZCTA5 00913",245,"ZCTA5 00913",31
"G00915","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00915",,,,,,,"86000US00915",,"ZCTA5 00915",322,"ZCTA5 00915",19
"G00917","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00917",,,,,,,"86000US00917",,"ZCTA5 00917",350,"ZCTA5 00917",34
"G00918","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00918",,,,,,,"86000US00918",,"ZCTA5 00918",617,"ZCTA5 00918",96
"G00920","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00920",,,,,,,"86000US00920",,"ZCTA5 00920",566,"ZCTA5 00920",56
"G00921","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00921",,,,,,,"86000US00921",,"ZCTA5 00921",502,"ZCTA5 00921",29
"G00923","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00923",,,,,,,"86000US00923",,"ZCTA5 00923",391,"ZCTA5 00923",30
"G00924","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00924",,,,,,,"86000US00924",,"ZCTA5 00924",398,"ZCTA5 00924",23
"G00925","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00925",,,,,,,"86000US00925",,"ZCTA5 00925",451,"ZCTA5 00925",37
"G00926","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00926",,,,,,,"86000US00926",,"ZCTA5 00926",667,"ZCTA5 00926",33
"G00927","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00927",,,,,,,"86000US00927",,"ZCTA5 00927",563,"ZCTA5 00927",37
"G00934","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00934",,,,,,,"86000US00934",,"ZCTA5 00934",1188,"ZCTA5 00934",622
"G00936","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00936",,,,,,,"86000US00936",,"ZCTA5 00936",.,"ZCTA5 00936",.
"G00949","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00949",,,,,,,"86000US00949",,"ZCTA5 00949",463,"ZCTA5 00949",30
"G00950","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00950",,,,,,,"86000US00950",,"ZCTA5 00950",.,"ZCTA5 00950",.
"G00951","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00951",,,,,,,"86000US00951",,"ZCTA5 00951",.,"ZCTA5 00951",.
"G00952","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00952",,,,,,,"86000US00952",,"ZCTA5 00952",252,"ZCTA5 00952",37
"G00953","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00953",,,,,,,"86000US00953",,"ZCTA5 00953",566,"ZCTA5 00953",49
"G00956","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00956",,,,,,,"86000US00956",,"ZCTA5 00956",443,"ZCTA5 00956",29
"G00957","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00957",,,,,,,"86000US00957",,"ZCTA5 00957",530,"ZCTA5 00957",33
"G00959","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00959",,,,,,,"86000US00959",,"ZCTA5 00959",550,"ZCTA5 00959",38
"G00960","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00960",,,,,,,"86000US00960",,"ZCTA5 00960",.,"ZCTA5 00960",.
"G00961","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00961",,,,,,,"86000US00961",,"ZCTA5 00961",607,"ZCTA5 00961",47
"G00962","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00962",,,,,,,"86000US00962",,"ZCTA5 00962",307,"ZCTA5 00962",25
"G00965","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00965",,,,,,,"86000US00965",,"ZCTA5 00965",270,"ZCTA5 00965",36
"G00966","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00966",,,,,,,"86000US00966",,"ZCTA5 00966",1010,"ZCTA5 00966",95
"G00968","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00968",,,,,,,"86000US00968",,"ZCTA5 00968",936,"ZCTA5 00968",54
"G00969","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00969",,,,,,,"86000US00969",,"ZCTA5 00969",974,"ZCTA5 00969",64
"G00971","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00971",,,,,,,"86000US00971",,"ZCTA5 00971",300,"ZCTA5 00971",48
"G00976","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00976",,,,,,,"86000US00976",,"ZCTA5 00976",579,"ZCTA5 00976",45
"G00979","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00979",,,,,,,"86000US00979",,"ZCTA5 00979",808,"ZCTA5 00979",60
"G00982","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00982",,,,,,,"86000US00982",,"ZCTA5 00982",447,"ZCTA5 00982",53
"G00983","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00983",,,,,,,"86000US00983",,"ZCTA5 00983",537,"ZCTA5 00983",34
"G00985","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00985",,,,,,,"86000US00985",,"ZCTA5 00985",584,"ZCTA5 00985",37
"G00987","2007-2011","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00987",,,,,,,"86000US00987",,"ZCTA5 00987",613,"ZCTA5 00987",48
"G01001","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"01001",,,,,,,"86000US01001",,"ZCTA5 01001",1072,"ZCTA5 01001",77
"G01002","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"01002",,,,,,,"86000US01002",,"ZCTA5 01002",1216,"ZCTA5 01002",49
"G01003","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"01003",,,,,,,"86000US01003",,"ZCTA5 01003",.,"ZCTA5 01003",.
"G01005","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"01005",,,,,,,"86000US01005",,"ZCTA5 01005",1550,"ZCTA5 01005",120
"G01007","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"01007",,,,,,,"86000US01007",,"ZCTA5 01007",1350,"ZCTA5 01007",145
"G01008","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"01008",,,,,,,"86000US01008",,"ZCTA5 01008",1391,"ZCTA5 01008",154
"G01009","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"01009",,,,,,,"86000US01009",,"ZCTA5 01009",902,"ZCTA5 01009",93
"G01010","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"01010",,,,,,,"86000US01010",,"ZCTA5 01010",1164,"ZCTA5 01010",148
"G01011","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"01011",,,,,,,"86000US01011",,"ZCTA5 01011",1050,"ZCTA5 01011",129
"G01012","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"01012",,,,,,,"86000US01012",,"ZCTA5 01012",930,"ZCTA5 01012",92
"G01013","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"01013",,,,,,,"86000US01013",,"ZCTA5 01013",810,"ZCTA5 01013",42
"G01020","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"01020",,,,,,,"86000US01020",,"ZCTA5 01020",871,"ZCTA5 01020",42
"G01022","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"01022",,,,,,,"86000US01022",,"ZCTA5 01022",1094,"ZCTA5 01022",233
"G01026","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"01026",,,,,,,"86000US01026",,"ZCTA5 01026",957,"ZCTA5 01026",121
"G01027","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"01027",,,,,,,"86000US01027",,"ZCTA5 01027",1022,"ZCTA5 01027",86
"G01028","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"01028",,,,,,,"86000US01028",,"ZCTA5 01028",1544,"ZCTA5 01028",86
"G01029","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"01029",,,,,,,"86000US01029",,"ZCTA5 01029",902,"ZCTA5 01029",286
"G01030","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"01030",,,,,,,"86000US01030",,"ZCTA5 01030",1229,"ZCTA5 01030",99
"G01031","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"01031",,,,,,,"86000US01031",,"ZCTA5 01031",921,"ZCTA5 01031",202
"G01032","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"01032",,,,,,,"86000US01032",,"ZCTA5 01032",1258,"ZCTA5 01032",293
"G01033","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"01033",,,,,,,"86000US01033",,"ZCTA5 01033",1177,"ZCTA5 01033",211
"G01034","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"01034",,,,,,,"86000US01034",,"ZCTA5 01034",1182,"ZCTA5 01034",101
"G01035","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"01035",,,,,,,"86000US01035",,"ZCTA5 01035",1054,"ZCTA5 01035",263
"G01036","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"01036",,,,,,,"86000US01036",,"ZCTA5 01036",1427,"ZCTA5 01036",129
"G01037","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"01037",,,,,,,"86000US01037",,"ZCTA5 01037",1665,"ZCTA5 01037",565
"G01038","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"01038",,,,,,,"86000US01038",,"ZCTA5 01038",1098,"ZCTA5 01038",350
"G01039","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"01039",,,,,,,"86000US01039",,"ZCTA5 01039",1032,"ZCTA5 01039",140
"G01040","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"01040",,,,,,,"86000US01040",,"ZCTA5 01040",793,"ZCTA5 01040",23
"G01050","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"01050",,,,,,,"86000US01050",,"ZCTA5 01050",939,"ZCTA5 01050",163
"G01053","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"01053",,,,,,,"86000US01053",,"ZCTA5 01053",1165,"ZCTA5 01053",115
"G01054","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"01054",,,,,,,"86000US01054",,"ZCTA5 01054",1330,"ZCTA5 01054",93
"G01056","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"01056",,,,,,,"86000US01056",,"ZCTA5 01056",1001,"ZCTA5 01056",73
"G01057","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"01057",,,,,,,"86000US01057",,"ZCTA5 01057",1138,"ZCTA5 01057",121
"G01060","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"01060",,,,,,,"86000US01060",,"ZCTA5 01060",978,"ZCTA5 01060",56
"G01062","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"01062",,,,,,,"86000US01062",,"ZCTA5 01062",1207,"ZCTA5 01062",115
"G01063","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"01063",,,,,,,"86000US01063",,"ZCTA5 01063",.,"ZCTA5 01063",.
