GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,ABY2E001,NAME_M,ABY2M001
"G98817","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98817",,,,,,,"86000US98817",,"ZCTA5 98817",378,"ZCTA5 98817",259
"G98819","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98819",,,,,,,"86000US98819",,"ZCTA5 98819",518,"ZCTA5 98819",110
"G98821","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98821",,,,,,,"86000US98821",,"ZCTA5 98821",428,"ZCTA5 98821",705
"G98822","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98822",,,,,,,"86000US98822",,"ZCTA5 98822",879,"ZCTA5 98822",95
"G98823","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98823",,,,,,,"86000US98823",,"ZCTA5 98823",715,"ZCTA5 98823",34
"G98824","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98824",,,,,,,"86000US98824",,"ZCTA5 98824",625,"ZCTA5 98824",84
"G98826","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98826",,,,,,,"86000US98826",,"ZCTA5 98826",779,"ZCTA5 98826",224
"G98827","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98827",,,,,,,"86000US98827",,"ZCTA5 98827",361,"ZCTA5 98827",312
"G98828","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98828",,,,,,,"86000US98828",,"ZCTA5 98828",1086,"ZCTA5 98828",155
"G98829","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98829",,,,,,,"86000US98829",,"ZCTA5 98829",950,"ZCTA5 98829",355
"G98830","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98830",,,,,,,"86000US98830",,"ZCTA5 98830",393,"ZCTA5 98830",164
"G98831","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98831",,,,,,,"86000US98831",,"ZCTA5 98831",850,"ZCTA5 98831",224
"G98832","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98832",,,,,,,"86000US98832",,"ZCTA5 98832",681,"ZCTA5 98832",805
"G98833","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98833",,,,,,,"86000US98833",,"ZCTA5 98833",495,"ZCTA5 98833",304
"G98834","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98834",,,,,,,"86000US98834",,"ZCTA5 98834",1058,"ZCTA5 98834",326
"G98836","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98836",,,,,,,"86000US98836",,"ZCTA5 98836",658,"ZCTA5 98836",315
"G98837","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98837",,,,,,,"86000US98837",,"ZCTA5 98837",847,"ZCTA5 98837",34
"G98840","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98840",,,,,,,"86000US98840",,"ZCTA5 98840",549,"ZCTA5 98840",106
"G98841","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98841",,,,,,,"86000US98841",,"ZCTA5 98841",701,"ZCTA5 98841",63
"G98843","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98843",,,,,,,"86000US98843",,"ZCTA5 98843",916,"ZCTA5 98843",109
"G98844","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98844",,,,,,,"86000US98844",,"ZCTA5 98844",544,"ZCTA5 98844",48
"G98845","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98845",,,,,,,"86000US98845",,"ZCTA5 98845",650,"ZCTA5 98845",413
"G98846","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98846",,,,,,,"86000US98846",,"ZCTA5 98846",676,"ZCTA5 98846",104
"G98847","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98847",,,,,,,"86000US98847",,"ZCTA5 98847",442,"ZCTA5 98847",214
"G98848","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98848",,,,,,,"86000US98848",,"ZCTA5 98848",739,"ZCTA5 98848",57
"G98849","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98849",,,,,,,"86000US98849",,"ZCTA5 98849",450,"ZCTA5 98849",231
"G98850","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98850",,,,,,,"86000US98850",,"ZCTA5 98850",796,"ZCTA5 98850",171
"G98851","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98851",,,,,,,"86000US98851",,"ZCTA5 98851",591,"ZCTA5 98851",116
"G98852","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98852",,,,,,,"86000US98852",,"ZCTA5 98852",1042,"ZCTA5 98852",1119
"G98853","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98853",,,,,,,"86000US98853",,"ZCTA5 98853",.,"ZCTA5 98853",.
