GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,AIM5E001,NAME_M,AIM5M001
"G00601","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00601",,,,,,,"86000US00601",,"ZCTA5 00601",210,"ZCTA5 00601",31
"G00602","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00602",,,,,,,"86000US00602",,"ZCTA5 00602",179,"ZCTA5 00602",13
"G00603","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00603",,,,,,,"86000US00603",,"ZCTA5 00603",253,"ZCTA5 00603",27
"G00606","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00606",,,,,,,"86000US00606",,"ZCTA5 00606",129,"ZCTA5 00606",18
"G00610","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00610",,,,,,,"86000US00610",,"ZCTA5 00610",200,"ZCTA5 00610",23
"G00612","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00612",,,,,,,"86000US00612",,"ZCTA5 00612",273,"ZCTA5 00612",32
"G00616","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00616",,,,,,,"86000US00616",,"ZCTA5 00616",208,"ZCTA5 00616",36
"G00617","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00617",,,,,,,"86000US00617",,"ZCTA5 00617",294,"ZCTA5 00617",92
"G00622","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00622",,,,,,,"86000US00622",,"ZCTA5 00622",278,"ZCTA5 00622",70
"G00623","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00623",,,,,,,"86000US00623",,"ZCTA5 00623",357,"ZCTA5 00623",49
"G00624","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00624",,,,,,,"86000US00624",,"ZCTA5 00624",199,"ZCTA5 00624",16
"G00627","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00627",,,,,,,"86000US00627",,"ZCTA5 00627",254,"ZCTA5 00627",31
"G00631","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00631",,,,,,,"86000US00631",,"ZCTA5 00631",189,"ZCTA5 00631",39
"G00637","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00637",,,,,,,"86000US00637",,"ZCTA5 00637",195,"ZCTA5 00637",16
"G00638","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00638",,,,,,,"86000US00638",,"ZCTA5 00638",198,"ZCTA5 00638",18
"G00641","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00641",,,,,,,"86000US00641",,"ZCTA5 00641",199,"ZCTA5 00641",20
"G00646","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00646",,,,,,,"86000US00646",,"ZCTA5 00646",509,"ZCTA5 00646",57
"G00647","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00647",,,,,,,"86000US00647",,"ZCTA5 00647",142,"ZCTA5 00647",16
"G00650","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00650",,,,,,,"86000US00650",,"ZCTA5 00650",247,"ZCTA5 00650",45
"G00652","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00652",,,,,,,"86000US00652",,"ZCTA5 00652",245,"ZCTA5 00652",89
"G00653","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00653",,,,,,,"86000US00653",,"ZCTA5 00653",157,"ZCTA5 00653",21
"G00656","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00656",,,,,,,"86000US00656",,"ZCTA5 00656",186,"ZCTA5 00656",16
"G00659","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00659",,,,,,,"86000US00659",,"ZCTA5 00659",239,"ZCTA5 00659",19
"G00660","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00660",,,,,,,"86000US00660",,"ZCTA5 00660",281,"ZCTA5 00660",26
"G00662","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00662",,,,,,,"86000US00662",,"ZCTA5 00662",318,"ZCTA5 00662",43
"G00664","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00664",,,,,,,"86000US00664",,"ZCTA5 00664",242,"ZCTA5 00664",46
"G00667","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00667",,,,,,,"86000US00667",,"ZCTA5 00667",221,"ZCTA5 00667",24
"G00669","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00669",,,,,,,"86000US00669",,"ZCTA5 00669",218,"ZCTA5 00669",23
"G00670","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00670",,,,,,,"86000US00670",,"ZCTA5 00670",169,"ZCTA5 00670",24
"G00674","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00674",,,,,,,"86000US00674",,"ZCTA5 00674",306,"ZCTA5 00674",41
"G00676","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00676",,,,,,,"86000US00676",,"ZCTA5 00676",218,"ZCTA5 00676",23
"G00677","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00677",,,,,,,"86000US00677",,"ZCTA5 00677",195,"ZCTA5 00677",24
"G00678","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00678",,,,,,,"86000US00678",,"ZCTA5 00678",239,"ZCTA5 00678",35
"G00680","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00680",,,,,,,"86000US00680",,"ZCTA5 00680",224,"ZCTA5 00680",21
"G00682","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00682",,,,,,,"86000US00682",,"ZCTA5 00682",307,"ZCTA5 00682",48
"G00683","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00683",,,,,,,"86000US00683",,"ZCTA5 00683",178,"ZCTA5 00683",13
"G00685","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00685",,,,,,,"86000US00685",,"ZCTA5 00685",206,"ZCTA5 00685",26
"G00687","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00687",,,,,,,"86000US00687",,"ZCTA5 00687",235,"ZCTA5 00687",23
"G00688","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00688",,,,,,,"86000US00688",,"ZCTA5 00688",233,"ZCTA5 00688",38
"G00690","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00690",,,,,,,"86000US00690",,"ZCTA5 00690",324,"ZCTA5 00690",148
"G00692","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00692",,,,,,,"86000US00692",,"ZCTA5 00692",302,"ZCTA5 00692",49
"G00693","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00693",,,,,,,"86000US00693",,"ZCTA5 00693",249,"ZCTA5 00693",22
"G00694","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00694",,,,,,,"86000US00694",,"ZCTA5 00694",182,"ZCTA5 00694",133
"G00698","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00698",,,,,,,"86000US00698",,"ZCTA5 00698",192,"ZCTA5 00698",10
"G00703","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00703",,,,,,,"86000US00703",,"ZCTA5 00703",199,"ZCTA5 00703",30
"G00704","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00704",,,,,,,"86000US00704",,"ZCTA5 00704",241,"ZCTA5 00704",45
"G00705","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00705",,,,,,,"86000US00705",,"ZCTA5 00705",230,"ZCTA5 00705",15
"G00707","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00707",,,,,,,"86000US00707",,"ZCTA5 00707",201,"ZCTA5 00707",30
"G00714","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00714",,,,,,,"86000US00714",,"ZCTA5 00714",342,"ZCTA5 00714",59
"G00715","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00715",,,,,,,"86000US00715",,"ZCTA5 00715",201,"ZCTA5 00715",28
"G00716","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00716",,,,,,,"86000US00716",,"ZCTA5 00716",293,"ZCTA5 00716",29
"G00717","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00717",,,,,,,"86000US00717",,"ZCTA5 00717",255,"ZCTA5 00717",51
"G00718","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00718",,,,,,,"86000US00718",,"ZCTA5 00718",215,"ZCTA5 00718",41
"G00719","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00719",,,,,,,"86000US00719",,"ZCTA5 00719",218,"ZCTA5 00719",22
"G00720","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00720",,,,,,,"86000US00720",,"ZCTA5 00720",184,"ZCTA5 00720",11
"G00723","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00723",,,,,,,"86000US00723",,"ZCTA5 00723",230,"ZCTA5 00723",25
"G00725","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00725",,,,,,,"86000US00725",,"ZCTA5 00725",435,"ZCTA5 00725",24
"G00727","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00727",,,,,,,"86000US00727",,"ZCTA5 00727",630,"ZCTA5 00727",38
"G00728","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00728",,,,,,,"86000US00728",,"ZCTA5 00728",278,"ZCTA5 00728",29
"G00729","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00729",,,,,,,"86000US00729",,"ZCTA5 00729",373,"ZCTA5 00729",42
"G00730","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00730",,,,,,,"86000US00730",,"ZCTA5 00730",244,"ZCTA5 00730",22
"G00731","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00731",,,,,,,"86000US00731",,"ZCTA5 00731",191,"ZCTA5 00731",21
"G00735","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00735",,,,,,,"86000US00735",,"ZCTA5 00735",300,"ZCTA5 00735",56
"G00736","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00736",,,,,,,"86000US00736",,"ZCTA5 00736",335,"ZCTA5 00736",36
"G00738","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00738",,,,,,,"86000US00738",,"ZCTA5 00738",466,"ZCTA5 00738",47
"G00739","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00739",,,,,,,"86000US00739",,"ZCTA5 00739",299,"ZCTA5 00739",36
"G00740","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00740",,,,,,,"86000US00740",,"ZCTA5 00740",371,"ZCTA5 00740",328
"G00741","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00741",,,,,,,"86000US00741",,"ZCTA5 00741",501,"ZCTA5 00741",94
"G00745","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00745",,,,,,,"86000US00745",,"ZCTA5 00745",415,"ZCTA5 00745",51
"G00751","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00751",,,,,,,"86000US00751",,"ZCTA5 00751",197,"ZCTA5 00751",16
"G00754","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00754",,,,,,,"86000US00754",,"ZCTA5 00754",233,"ZCTA5 00754",15
"G00757","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00757",,,,,,,"86000US00757",,"ZCTA5 00757",312,"ZCTA5 00757",53
"G00765","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00765",,,,,,,"86000US00765",,"ZCTA5 00765",152,"ZCTA5 00765",34
"G00766","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00766",,,,,,,"86000US00766",,"ZCTA5 00766",183,"ZCTA5 00766",12
"G00767","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00767",,,,,,,"86000US00767",,"ZCTA5 00767",199,"ZCTA5 00767",17
"G00769","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00769",,,,,,,"86000US00769",,"ZCTA5 00769",258,"ZCTA5 00769",37
"G00771","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00771",,,,,,,"86000US00771",,"ZCTA5 00771",297,"ZCTA5 00771",42
"G00772","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00772",,,,,,,"86000US00772",,"ZCTA5 00772",177,"ZCTA5 00772",13
"G00773","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00773",,,,,,,"86000US00773",,"ZCTA5 00773",399,"ZCTA5 00773",78
"G00775","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00775",,,,,,,"86000US00775",,"ZCTA5 00775",245,"ZCTA5 00775",40
"G00777","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00777",,,,,,,"86000US00777",,"ZCTA5 00777",379,"ZCTA5 00777",48
"G00778","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00778",,,,,,,"86000US00778",,"ZCTA5 00778",653,"ZCTA5 00778",64
"G00780","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00780",,,,,,,"86000US00780",,"ZCTA5 00780",478,"ZCTA5 00780",135
"G00782","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00782",,,,,,,"86000US00782",,"ZCTA5 00782",204,"ZCTA5 00782",28
"G00783","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00783",,,,,,,"86000US00783",,"ZCTA5 00783",232,"ZCTA5 00783",20
"G00784","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00784",,,,,,,"86000US00784",,"ZCTA5 00784",259,"ZCTA5 00784",26
"G00786","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00786",,,,,,,"86000US00786",,"ZCTA5 00786",155,"ZCTA5 00786",57
"G00791","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00791",,,,,,,"86000US00791",,"ZCTA5 00791",296,"ZCTA5 00791",27
"G00794","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00794",,,,,,,"86000US00794",,"ZCTA5 00794",235,"ZCTA5 00794",19
"G00795","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00795",,,,,,,"86000US00795",,"ZCTA5 00795",268,"ZCTA5 00795",25
"G00901","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00901",,,,,,,"86000US00901",,"ZCTA5 00901",541,"ZCTA5 00901",74
"G00906","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00906",,,,,,,"86000US00906",,"ZCTA5 00906",2400,"ZCTA5 00906",357
"G00907","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00907",,,,,,,"86000US00907",,"ZCTA5 00907",781,"ZCTA5 00907",61
"G00909","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00909",,,,,,,"86000US00909",,"ZCTA5 00909",493,"ZCTA5 00909",72
"G00911","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00911",,,,,,,"86000US00911",,"ZCTA5 00911",740,"ZCTA5 00911",59
"G00912","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00912",,,,,,,"86000US00912",,"ZCTA5 00912",581,"ZCTA5 00912",61
"G00913","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00913",,,,,,,"86000US00913",,"ZCTA5 00913",206,"ZCTA5 00913",26
"G00915","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00915",,,,,,,"86000US00915",,"ZCTA5 00915",333,"ZCTA5 00915",25
"G00917","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00917",,,,,,,"86000US00917",,"ZCTA5 00917",403,"ZCTA5 00917",47
"G00918","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00918",,,,,,,"86000US00918",,"ZCTA5 00918",604,"ZCTA5 00918",67
"G00920","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00920",,,,,,,"86000US00920",,"ZCTA5 00920",631,"ZCTA5 00920",40
"G00921","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00921",,,,,,,"86000US00921",,"ZCTA5 00921",567,"ZCTA5 00921",34
"G00923","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00923",,,,,,,"86000US00923",,"ZCTA5 00923",362,"ZCTA5 00923",33
"G00924","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00924",,,,,,,"86000US00924",,"ZCTA5 00924",453,"ZCTA5 00924",30
"G00925","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00925",,,,,,,"86000US00925",,"ZCTA5 00925",468,"ZCTA5 00925",41
"G00926","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00926",,,,,,,"86000US00926",,"ZCTA5 00926",653,"ZCTA5 00926",49
"G00927","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00927",,,,,,,"86000US00927",,"ZCTA5 00927",547,"ZCTA5 00927",57
"G00934","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00934",,,,,,,"86000US00934",,"ZCTA5 00934",.,"ZCTA5 00934",.
"G00936","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00936",,,,,,,"86000US00936",,"ZCTA5 00936",.,"ZCTA5 00936",.
"G00949","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00949",,,,,,,"86000US00949",,"ZCTA5 00949",536,"ZCTA5 00949",31
"G00950","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00950",,,,,,,"86000US00950",,"ZCTA5 00950",.,"ZCTA5 00950",.
"G00951","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00951",,,,,,,"86000US00951",,"ZCTA5 00951",.,"ZCTA5 00951",.
"G00952","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00952",,,,,,,"86000US00952",,"ZCTA5 00952",293,"ZCTA5 00952",60
"G00953","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00953",,,,,,,"86000US00953",,"ZCTA5 00953",638,"ZCTA5 00953",49
"G00956","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00956",,,,,,,"86000US00956",,"ZCTA5 00956",488,"ZCTA5 00956",39
"G00957","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00957",,,,,,,"86000US00957",,"ZCTA5 00957",512,"ZCTA5 00957",36
"G00959","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00959",,,,,,,"86000US00959",,"ZCTA5 00959",630,"ZCTA5 00959",36
"G00960","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00960",,,,,,,"86000US00960",,"ZCTA5 00960",.,"ZCTA5 00960",.
"G00961","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00961",,,,,,,"86000US00961",,"ZCTA5 00961",566,"ZCTA5 00961",58
"G00962","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00962",,,,,,,"86000US00962",,"ZCTA5 00962",350,"ZCTA5 00962",38
"G00965","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00965",,,,,,,"86000US00965",,"ZCTA5 00965",231,"ZCTA5 00965",35
"G00966","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00966",,,,,,,"86000US00966",,"ZCTA5 00966",991,"ZCTA5 00966",76
"G00968","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00968",,,,,,,"86000US00968",,"ZCTA5 00968",832,"ZCTA5 00968",76
"G00969","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00969",,,,,,,"86000US00969",,"ZCTA5 00969",1047,"ZCTA5 00969",69
"G00971","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00971",,,,,,,"86000US00971",,"ZCTA5 00971",284,"ZCTA5 00971",40
"G00976","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00976",,,,,,,"86000US00976",,"ZCTA5 00976",602,"ZCTA5 00976",42
"G00979","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00979",,,,,,,"86000US00979",,"ZCTA5 00979",822,"ZCTA5 00979",82
"G00982","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00982",,,,,,,"86000US00982",,"ZCTA5 00982",557,"ZCTA5 00982",66
"G00983","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00983",,,,,,,"86000US00983",,"ZCTA5 00983",605,"ZCTA5 00983",50
"G00985","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00985",,,,,,,"86000US00985",,"ZCTA5 00985",496,"ZCTA5 00985",45
"G00987","2013-2017","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00987",,,,,,,"86000US00987",,"ZCTA5 00987",657,"ZCTA5 00987",58
"G01001","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"01001",,,,,,,"86000US01001",,"ZCTA5 01001",1141,"ZCTA5 01001",59
"G01002","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"01002",,,,,,,"86000US01002",,"ZCTA5 01002",1349,"ZCTA5 01002",67
"G01003","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"01003",,,,,,,"86000US01003",,"ZCTA5 01003",1215,"ZCTA5 01003",784
"G01005","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"01005",,,,,,,"86000US01005",,"ZCTA5 01005",1265,"ZCTA5 01005",272
"G01007","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"01007",,,,,,,"86000US01007",,"ZCTA5 01007",1338,"ZCTA5 01007",73
"G01008","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"01008",,,,,,,"86000US01008",,"ZCTA5 01008",1296,"ZCTA5 01008",127
"G01009","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"01009",,,,,,,"86000US01009",,"ZCTA5 01009",1102,"ZCTA5 01009",1027
"G01010","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"01010",,,,,,,"86000US01010",,"ZCTA5 01010",1262,"ZCTA5 01010",164
"G01011","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"01011",,,,,,,"86000US01011",,"ZCTA5 01011",1066,"ZCTA5 01011",102
"G01012","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"01012",,,,,,,"86000US01012",,"ZCTA5 01012",1115,"ZCTA5 01012",145
"G01013","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"01013",,,,,,,"86000US01013",,"ZCTA5 01013",912,"ZCTA5 01013",31
"G01020","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"01020",,,,,,,"86000US01020",,"ZCTA5 01020",985,"ZCTA5 01020",45
"G01022","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"01022",,,,,,,"86000US01022",,"ZCTA5 01022",902,"ZCTA5 01022",112
"G01026","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"01026",,,,,,,"86000US01026",,"ZCTA5 01026",984,"ZCTA5 01026",180
"G01027","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"01027",,,,,,,"86000US01027",,"ZCTA5 01027",1089,"ZCTA5 01027",73
"G01028","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"01028",,,,,,,"86000US01028",,"ZCTA5 01028",1397,"ZCTA5 01028",58
"G01029","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"01029",,,,,,,"86000US01029",,"ZCTA5 01029",738,"ZCTA5 01029",179
"G01030","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"01030",,,,,,,"86000US01030",,"ZCTA5 01030",1182,"ZCTA5 01030",83
"G01031","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"01031",,,,,,,"86000US01031",,"ZCTA5 01031",858,"ZCTA5 01031",69
"G01032","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"01032",,,,,,,"86000US01032",,"ZCTA5 01032",1106,"ZCTA5 01032",418
"G01033","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"01033",,,,,,,"86000US01033",,"ZCTA5 01033",1177,"ZCTA5 01033",107
"G01034","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"01034",,,,,,,"86000US01034",,"ZCTA5 01034",1252,"ZCTA5 01034",110
"G01035","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"01035",,,,,,,"86000US01035",,"ZCTA5 01035",1067,"ZCTA5 01035",338
"G01036","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"01036",,,,,,,"86000US01036",,"ZCTA5 01036",1302,"ZCTA5 01036",193
"G01037","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"01037",,,,,,,"86000US01037",,"ZCTA5 01037",1000,"ZCTA5 01037",448
"G01038","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"01038",,,,,,,"86000US01038",,"ZCTA5 01038",1203,"ZCTA5 01038",134
"G01039","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"01039",,,,,,,"86000US01039",,"ZCTA5 01039",1157,"ZCTA5 01039",135
"G01040","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"01040",,,,,,,"86000US01040",,"ZCTA5 01040",892,"ZCTA5 01040",23
"G01050","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"01050",,,,,,,"86000US01050",,"ZCTA5 01050",1096,"ZCTA5 01050",70
"G01053","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"01053",,,,,,,"86000US01053",,"ZCTA5 01053",1341,"ZCTA5 01053",227
"G01054","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"01054",,,,,,,"86000US01054",,"ZCTA5 01054",1478,"ZCTA5 01054",143
"G01056","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"01056",,,,,,,"86000US01056",,"ZCTA5 01056",1143,"ZCTA5 01056",67
"G01057","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"01057",,,,,,,"86000US01057",,"ZCTA5 01057",1139,"ZCTA5 01057",92
"G01060","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"01060",,,,,,,"86000US01060",,"ZCTA5 01060",1169,"ZCTA5 01060",45
"G01062","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"01062",,,,,,,"86000US01062",,"ZCTA5 01062",1131,"ZCTA5 01062",83
"G01063","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"01063",,,,,,,"86000US01063",,"ZCTA5 01063",.,"ZCTA5 01063",.
