GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,AIM5E001,NAME_M,AIM5M001
"G61875","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61875",,,,,,,"86000US61875",,"ZCTA5 61875",890,"ZCTA5 61875",196
"G61876","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61876",,,,,,,"86000US61876",,"ZCTA5 61876",621,"ZCTA5 61876",120
"G61877","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61877",,,,,,,"86000US61877",,"ZCTA5 61877",1020,"ZCTA5 61877",90
"G61878","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61878",,,,,,,"86000US61878",,"ZCTA5 61878",666,"ZCTA5 61878",63
"G61880","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61880",,,,,,,"86000US61880",,"ZCTA5 61880",906,"ZCTA5 61880",113
"G61882","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61882",,,,,,,"86000US61882",,"ZCTA5 61882",695,"ZCTA5 61882",63
"G61883","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61883",,,,,,,"86000US61883",,"ZCTA5 61883",546,"ZCTA5 61883",45
"G61884","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61884",,,,,,,"86000US61884",,"ZCTA5 61884",1097,"ZCTA5 61884",506
"G61910","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61910",,,,,,,"86000US61910",,"ZCTA5 61910",753,"ZCTA5 61910",50
"G61911","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61911",,,,,,,"86000US61911",,"ZCTA5 61911",729,"ZCTA5 61911",73
"G61912","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61912",,,,,,,"86000US61912",,"ZCTA5 61912",661,"ZCTA5 61912",63
"G61913","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61913",,,,,,,"86000US61913",,"ZCTA5 61913",693,"ZCTA5 61913",139
"G61914","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61914",,,,,,,"86000US61914",,"ZCTA5 61914",641,"ZCTA5 61914",153
"G61917","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61917",,,,,,,"86000US61917",,"ZCTA5 61917",591,"ZCTA5 61917",74
"G61919","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61919",,,,,,,"86000US61919",,"ZCTA5 61919",843,"ZCTA5 61919",98
"G61920","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61920",,,,,,,"86000US61920",,"ZCTA5 61920",697,"ZCTA5 61920",31
"G61924","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61924",,,,,,,"86000US61924",,"ZCTA5 61924",624,"ZCTA5 61924",60
"G61925","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61925",,,,,,,"86000US61925",,"ZCTA5 61925",854,"ZCTA5 61925",78
"G61928","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61928",,,,,,,"86000US61928",,"ZCTA5 61928",635,"ZCTA5 61928",128
"G61929","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61929",,,,,,,"86000US61929",,"ZCTA5 61929",540,"ZCTA5 61929",56
"G61930","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61930",,,,,,,"86000US61930",,"ZCTA5 61930",646,"ZCTA5 61930",130
"G61931","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61931",,,,,,,"86000US61931",,"ZCTA5 61931",697,"ZCTA5 61931",100
"G61932","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61932",,,,,,,"86000US61932",,"ZCTA5 61932",533,"ZCTA5 61932",70
"G61933","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61933",,,,,,,"86000US61933",,"ZCTA5 61933",562,"ZCTA5 61933",60
