GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,AKLKE001,NAME_M,AKLKM001
"G73170","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73170",,,,,,,"86000US73170",,"ZCTA5 73170",1244,"ZCTA5 73170",43
"G73173","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73173",,,,,,,"86000US73173",,"ZCTA5 73173",1735,"ZCTA5 73173",154
"G73179","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73179",,,,,,,"86000US73179",,"ZCTA5 73179",1417,"ZCTA5 73179",100
"G73401","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73401",,,,,,,"86000US73401",,"ZCTA5 73401",739,"ZCTA5 73401",21
"G73425","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73425",,,,,,,"86000US73425",,"ZCTA5 73425",239,"ZCTA5 73425",22
"G73430","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73430",,,,,,,"86000US73430",,"ZCTA5 73430",669,"ZCTA5 73430",182
"G73432","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73432",,,,,,,"86000US73432",,"ZCTA5 73432",608,"ZCTA5 73432",88
"G73433","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73433",,,,,,,"86000US73433",,"ZCTA5 73433",561,"ZCTA5 73433",90
"G73434","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73434",,,,,,,"86000US73434",,"ZCTA5 73434",554,"ZCTA5 73434",108
"G73437","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73437",,,,,,,"86000US73437",,"ZCTA5 73437",310,"ZCTA5 73437",103
"G73438","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73438",,,,,,,"86000US73438",,"ZCTA5 73438",458,"ZCTA5 73438",37
"G73439","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73439",,,,,,,"86000US73439",,"ZCTA5 73439",514,"ZCTA5 73439",38
"G73440","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73440",,,,,,,"86000US73440",,"ZCTA5 73440",507,"ZCTA5 73440",247
"G73441","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73441",,,,,,,"86000US73441",,"ZCTA5 73441",283,"ZCTA5 73441",152
"G73442","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73442",,,,,,,"86000US73442",,"ZCTA5 73442",397,"ZCTA5 73442",88
"G73443","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73443",,,,,,,"86000US73443",,"ZCTA5 73443",648,"ZCTA5 73443",48
"G73444","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73444",,,,,,,"86000US73444",,"ZCTA5 73444",265,"ZCTA5 73444",205
"G73446","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73446",,,,,,,"86000US73446",,"ZCTA5 73446",577,"ZCTA5 73446",33
"G73447","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73447",,,,,,,"86000US73447",,"ZCTA5 73447",508,"ZCTA5 73447",78
"G73448","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73448",,,,,,,"86000US73448",,"ZCTA5 73448",609,"ZCTA5 73448",32
"G73449","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73449",,,,,,,"86000US73449",,"ZCTA5 73449",598,"ZCTA5 73449",78
"G73450","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73450",,,,,,,"86000US73450",,"ZCTA5 73450",549,"ZCTA5 73450",92
"G73453","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73453",,,,,,,"86000US73453",,"ZCTA5 73453",809,"ZCTA5 73453",261
"G73455","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73455",,,,,,,"86000US73455",,"ZCTA5 73455",606,"ZCTA5 73455",112
"G73456","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73456",,,,,,,"86000US73456",,"ZCTA5 73456",479,"ZCTA5 73456",52
"G73458","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73458",,,,,,,"86000US73458",,"ZCTA5 73458",606,"ZCTA5 73458",175
"G73459","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73459",,,,,,,"86000US73459",,"ZCTA5 73459",511,"ZCTA5 73459",97
"G73460","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73460",,,,,,,"86000US73460",,"ZCTA5 73460",490,"ZCTA5 73460",67
"G73461","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73461",,,,,,,"86000US73461",,"ZCTA5 73461",520,"ZCTA5 73461",91
"G73463","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73463",,,,,,,"86000US73463",,"ZCTA5 73463",572,"ZCTA5 73463",30
"G73481","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73481",,,,,,,"86000US73481",,"ZCTA5 73481",447,"ZCTA5 73481",79
"G73487","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73487",,,,,,,"86000US73487",,"ZCTA5 73487",350,"ZCTA5 73487",207
"G73491","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73491",,,,,,,"86000US73491",,"ZCTA5 73491",521,"ZCTA5 73491",91
"G73501","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73501",,,,,,,"86000US73501",,"ZCTA5 73501",707,"ZCTA5 73501",33
"G73503","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73503",,,,,,,"86000US73503",,"ZCTA5 73503",1259,"ZCTA5 73503",40
"G73505","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73505",,,,,,,"86000US73505",,"ZCTA5 73505",854,"ZCTA5 73505",27
"G73507","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73507",,,,,,,"86000US73507",,"ZCTA5 73507",866,"ZCTA5 73507",40
"G73520","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73520",,,,,,,"86000US73520",,"ZCTA5 73520",538,"ZCTA5 73520",204
"G73521","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73521",,,,,,,"86000US73521",,"ZCTA5 73521",750,"ZCTA5 73521",31
"G73526","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73526",,,,,,,"86000US73526",,"ZCTA5 73526",598,"ZCTA5 73526",54
"G73527","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73527",,,,,,,"86000US73527",,"ZCTA5 73527",905,"ZCTA5 73527",173
"G73528","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73528",,,,,,,"86000US73528",,"ZCTA5 73528",547,"ZCTA5 73528",159
"G73529","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73529",,,,,,,"86000US73529",,"ZCTA5 73529",542,"ZCTA5 73529",34
"G73530","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73530",,,,,,,"86000US73530",,"ZCTA5 73530",304,"ZCTA5 73530",38
"G73531","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73531",,,,,,,"86000US73531",,"ZCTA5 73531",781,"ZCTA5 73531",180
"G73532","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73532",,,,,,,"86000US73532",,"ZCTA5 73532",545,"ZCTA5 73532",47
"G73533","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73533",,,,,,,"86000US73533",,"ZCTA5 73533",664,"ZCTA5 73533",25
"G73537","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73537",,,,,,,"86000US73537",,"ZCTA5 73537",467,"ZCTA5 73537",69
"G73538","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73538",,,,,,,"86000US73538",,"ZCTA5 73538",1264,"ZCTA5 73538",170
"G73539","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73539",,,,,,,"86000US73539",,"ZCTA5 73539",394,"ZCTA5 73539",101
"G73540","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73540",,,,,,,"86000US73540",,"ZCTA5 73540",950,"ZCTA5 73540",351
