GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,AMJBE001,NAME_M,AMJBM001
"G50223","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"50223",,,,,,,"86000US50223",,"ZCTA5 50223",725,"ZCTA5 50223",313
"G50225","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"50225",,,,,,,"86000US50225",,"ZCTA5 50225",732,"ZCTA5 50225",93
"G50226","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"50226",,,,,,,"86000US50226",,"ZCTA5 50226",1544,"ZCTA5 50226",155
"G50227","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"50227",,,,,,,"86000US50227",,"ZCTA5 50227",363,"ZCTA5 50227",77
"G50228","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"50228",,,,,,,"86000US50228",,"ZCTA5 50228",990,"ZCTA5 50228",82
"G50229","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"50229",,,,,,,"86000US50229",,"ZCTA5 50229",1628,"ZCTA5 50229",160
"G50230","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"50230",,,,,,,"86000US50230",,"ZCTA5 50230",765,"ZCTA5 50230",46
"G50231","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"50231",,,,,,,"86000US50231",,"ZCTA5 50231",844,"ZCTA5 50231",96
"G50232","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"50232",,,,,,,"86000US50232",,"ZCTA5 50232",919,"ZCTA5 50232",82
"G50233","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"50233",,,,,,,"86000US50233",,"ZCTA5 50233",1053,"ZCTA5 50233",152
"G50234","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"50234",,,,,,,"86000US50234",,"ZCTA5 50234",686,"ZCTA5 50234",150
"G50235","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"50235",,,,,,,"86000US50235",,"ZCTA5 50235",700,"ZCTA5 50235",167
"G50236","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"50236",,,,,,,"86000US50236",,"ZCTA5 50236",954,"ZCTA5 50236",83
"G50237","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"50237",,,,,,,"86000US50237",,"ZCTA5 50237",1256,"ZCTA5 50237",144
"G50238","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"50238",,,,,,,"86000US50238",,"ZCTA5 50238",667,"ZCTA5 50238",150
"G50239","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"50239",,,,,,,"86000US50239",,"ZCTA5 50239",788,"ZCTA5 50239",466
"G50240","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"50240",,,,,,,"86000US50240",,"ZCTA5 50240",1106,"ZCTA5 50240",115
"G50242","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"50242",,,,,,,"86000US50242",,"ZCTA5 50242",707,"ZCTA5 50242",153
"G50243","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"50243",,,,,,,"86000US50243",,"ZCTA5 50243",819,"ZCTA5 50243",267
"G50244","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"50244",,,,,,,"86000US50244",,"ZCTA5 50244",1064,"ZCTA5 50244",142
"G50246","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"50246",,,,,,,"86000US50246",,"ZCTA5 50246",713,"ZCTA5 50246",187
"G50247","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"50247",,,,,,,"86000US50247",,"ZCTA5 50247",814,"ZCTA5 50247",154
"G50248","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"50248",,,,,,,"86000US50248",,"ZCTA5 50248",849,"ZCTA5 50248",107
"G50249","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"50249",,,,,,,"86000US50249",,"ZCTA5 50249",744,"ZCTA5 50249",38
"G50250","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"50250",,,,,,,"86000US50250",,"ZCTA5 50250",791,"ZCTA5 50250",55
