GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,AD8XE001,NAME_M,AD8XM001
"G88341","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"88341",,,,,,,"86000US88341",,"ZCTA5 88341",730,"ZCTA5 88341",319
"G88342","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"88342",,,,,,,"86000US88342",,"ZCTA5 88342",275,"ZCTA5 88342",112
"G88343","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"88343",,,,,,,"86000US88343",,"ZCTA5 88343",783,"ZCTA5 88343",575
"G88344","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"88344",,,,,,,"86000US88344",,"ZCTA5 88344",.,"ZCTA5 88344",.
"G88345","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"88345",,,,,,,"86000US88345",,"ZCTA5 88345",766,"ZCTA5 88345",88
"G88346","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"88346",,,,,,,"86000US88346",,"ZCTA5 88346",467,"ZCTA5 88346",38
"G88347","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"88347",,,,,,,"86000US88347",,"ZCTA5 88347",.,"ZCTA5 88347",.
"G88348","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"88348",,,,,,,"86000US88348",,"ZCTA5 88348",513,"ZCTA5 88348",159
"G88349","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"88349",,,,,,,"86000US88349",,"ZCTA5 88349",.,"ZCTA5 88349",.
"G88350","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"88350",,,,,,,"86000US88350",,"ZCTA5 88350",354,"ZCTA5 88350",153
"G88351","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"88351",,,,,,,"86000US88351",,"ZCTA5 88351",369,"ZCTA5 88351",351
"G88352","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"88352",,,,,,,"86000US88352",,"ZCTA5 88352",454,"ZCTA5 88352",123
"G88353","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"88353",,,,,,,"86000US88353",,"ZCTA5 88353",483,"ZCTA5 88353",126
"G88354","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"88354",,,,,,,"86000US88354",,"ZCTA5 88354",,"ZCTA5 88354",
"G88355","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"88355",,,,,,,"86000US88355",,"ZCTA5 88355",.,"ZCTA5 88355",.
"G88401","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"88401",,,,,,,"86000US88401",,"ZCTA5 88401",431,"ZCTA5 88401",48
"G88410","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"88410",,,,,,,"86000US88410",,"ZCTA5 88410",.,"ZCTA5 88410",.
"G88411","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"88411",,,,,,,"86000US88411",,"ZCTA5 88411",375,"ZCTA5 88411",172
"G88414","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"88414",,,,,,,"86000US88414",,"ZCTA5 88414",467,"ZCTA5 88414",238
"G88415","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"88415",,,,,,,"86000US88415",,"ZCTA5 88415",581,"ZCTA5 88415",51
"G88416","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"88416",,,,,,,"86000US88416",,"ZCTA5 88416",.,"ZCTA5 88416",.
