GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,RGDE001,NAME_M,RGDM001
"G74027","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74027",,,,,,,"86000US74027",,"ZCTA5 74027",542,"ZCTA5 74027",174
"G74028","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74028",,,,,,,"86000US74028",,"ZCTA5 74028",445,"ZCTA5 74028",139
"G74029","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74029",,,,,,,"86000US74029",,"ZCTA5 74029",652,"ZCTA5 74029",83
"G74030","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74030",,,,,,,"86000US74030",,"ZCTA5 74030",479,"ZCTA5 74030",60
"G74032","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74032",,,,,,,"86000US74032",,"ZCTA5 74032",693,"ZCTA5 74032",60
"G74033","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74033",,,,,,,"86000US74033",,"ZCTA5 74033",994,"ZCTA5 74033",58
"G74034","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74034",,,,,,,"86000US74034",,"ZCTA5 74034",573,"ZCTA5 74034",75
"G74035","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74035",,,,,,,"86000US74035",,"ZCTA5 74035",442,"ZCTA5 74035",52
"G74036","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74036",,,,,,,"86000US74036",,"ZCTA5 74036",738,"ZCTA5 74036",63
"G74037","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74037",,,,,,,"86000US74037",,"ZCTA5 74037",1298,"ZCTA5 74037",61
"G74038","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74038",,,,,,,"86000US74038",,"ZCTA5 74038",555,"ZCTA5 74038",90
"G74039","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74039",,,,,,,"86000US74039",,"ZCTA5 74039",551,"ZCTA5 74039",66
"G74041","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74041",,,,,,,"86000US74041",,"ZCTA5 74041",913,"ZCTA5 74041",62
