GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,ANDYE001,NAME_M,ANDYM001
"G00601","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00601",,,,,,,"86000US00601",,"ZCTA 00601",158,"ZCTA 00601",24
"G00602","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00602",,,,,,,"86000US00602",,"ZCTA 00602",160,"ZCTA 00602",13
"G00603","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00603",,,,,,,"86000US00603",,"ZCTA 00603",257,"ZCTA 00603",26
"G00606","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00606",,,,,,,"86000US00606",,"ZCTA 00606",116,"ZCTA 00606",18
"G00610","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00610",,,,,,,"86000US00610",,"ZCTA 00610",193,"ZCTA 00610",21
"G00612","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00612",,,,,,,"86000US00612",,"ZCTA 00612",294,"ZCTA 00612",28
"G00616","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00616",,,,,,,"86000US00616",,"ZCTA 00616",225,"ZCTA 00616",40
"G00617","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00617",,,,,,,"86000US00617",,"ZCTA 00617",287,"ZCTA 00617",103
"G00622","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00622",,,,,,,"86000US00622",,"ZCTA 00622",185,"ZCTA 00622",57
"G00623","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00623",,,,,,,"86000US00623",,"ZCTA 00623",328,"ZCTA 00623",39
"G00624","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00624",,,,,,,"86000US00624",,"ZCTA 00624",215,"ZCTA 00624",25
"G00627","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00627",,,,,,,"86000US00627",,"ZCTA 00627",191,"ZCTA 00627",11
"G00631","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00631",,,,,,,"86000US00631",,"ZCTA 00631",182,"ZCTA 00631",40
"G00637","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00637",,,,,,,"86000US00637",,"ZCTA 00637",197,"ZCTA 00637",24
"G00638","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00638",,,,,,,"86000US00638",,"ZCTA 00638",186,"ZCTA 00638",20
"G00641","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00641",,,,,,,"86000US00641",,"ZCTA 00641",229,"ZCTA 00641",29
"G00646","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00646",,,,,,,"86000US00646",,"ZCTA 00646",345,"ZCTA 00646",66
"G00647","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00647",,,,,,,"86000US00647",,"ZCTA 00647",116,"ZCTA 00647",16
"G00650","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00650",,,,,,,"86000US00650",,"ZCTA 00650",339,"ZCTA 00650",139
"G00652","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00652",,,,,,,"86000US00652",,"ZCTA 00652",289,"ZCTA 00652",209
"G00653","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00653",,,,,,,"86000US00653",,"ZCTA 00653",141,"ZCTA 00653",11
"G00656","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00656",,,,,,,"86000US00656",,"ZCTA 00656",185,"ZCTA 00656",16
"G00659","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00659",,,,,,,"86000US00659",,"ZCTA 00659",266,"ZCTA 00659",32
"G00660","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00660",,,,,,,"86000US00660",,"ZCTA 00660",271,"ZCTA 00660",45
"G00662","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00662",,,,,,,"86000US00662",,"ZCTA 00662",279,"ZCTA 00662",48
"G00664","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00664",,,,,,,"86000US00664",,"ZCTA 00664",233,"ZCTA 00664",70
"G00667","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00667",,,,,,,"86000US00667",,"ZCTA 00667",195,"ZCTA 00667",21
"G00669","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00669",,,,,,,"86000US00669",,"ZCTA 00669",207,"ZCTA 00669",32
"G00670","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00670",,,,,,,"86000US00670",,"ZCTA 00670",161,"ZCTA 00670",27
"G00674","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00674",,,,,,,"86000US00674",,"ZCTA 00674",298,"ZCTA 00674",47
"G00676","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00676",,,,,,,"86000US00676",,"ZCTA 00676",232,"ZCTA 00676",24
"G00677","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00677",,,,,,,"86000US00677",,"ZCTA 00677",181,"ZCTA 00677",19
"G00678","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00678",,,,,,,"86000US00678",,"ZCTA 00678",200,"ZCTA 00678",32
"G00680","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00680",,,,,,,"86000US00680",,"ZCTA 00680",262,"ZCTA 00680",27
"G00682","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00682",,,,,,,"86000US00682",,"ZCTA 00682",278,"ZCTA 00682",37
"G00683","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00683",,,,,,,"86000US00683",,"ZCTA 00683",163,"ZCTA 00683",16
"G00685","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00685",,,,,,,"86000US00685",,"ZCTA 00685",198,"ZCTA 00685",25
"G00687","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00687",,,,,,,"86000US00687",,"ZCTA 00687",242,"ZCTA 00687",22
"G00688","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00688",,,,,,,"86000US00688",,"ZCTA 00688",227,"ZCTA 00688",49
"G00690","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00690",,,,,,,"86000US00690",,"ZCTA 00690",437,"ZCTA 00690",207
"G00692","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00692",,,,,,,"86000US00692",,"ZCTA 00692",378,"ZCTA 00692",56
"G00693","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00693",,,,,,,"86000US00693",,"ZCTA 00693",274,"ZCTA 00693",33
"G00694","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00694",,,,,,,"86000US00694",,"ZCTA 00694",,"ZCTA 00694",
"G00698","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00698",,,,,,,"86000US00698",,"ZCTA 00698",171,"ZCTA 00698",12
"G00703","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00703",,,,,,,"86000US00703",,"ZCTA 00703",220,"ZCTA 00703",41
"G00704","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00704",,,,,,,"86000US00704",,"ZCTA 00704",314,"ZCTA 00704",60
"G00705","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00705",,,,,,,"86000US00705",,"ZCTA 00705",207,"ZCTA 00705",29
"G00707","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00707",,,,,,,"86000US00707",,"ZCTA 00707",194,"ZCTA 00707",35
"G00714","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00714",,,,,,,"86000US00714",,"ZCTA 00714",249,"ZCTA 00714",43
"G00715","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00715",,,,,,,"86000US00715",,"ZCTA 00715",157,"ZCTA 00715",32
"G00716","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00716",,,,,,,"86000US00716",,"ZCTA 00716",298,"ZCTA 00716",36
"G00717","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00717",,,,,,,"86000US00717",,"ZCTA 00717",290,"ZCTA 00717",46
"G00718","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00718",,,,,,,"86000US00718",,"ZCTA 00718",254,"ZCTA 00718",55
"G00719","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00719",,,,,,,"86000US00719",,"ZCTA 00719",227,"ZCTA 00719",28
"G00720","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00720",,,,,,,"86000US00720",,"ZCTA 00720",178,"ZCTA 00720",13
"G00723","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00723",,,,,,,"86000US00723",,"ZCTA 00723",210,"ZCTA 00723",30
"G00725","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00725",,,,,,,"86000US00725",,"ZCTA 00725",424,"ZCTA 00725",43
"G00727","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00727",,,,,,,"86000US00727",,"ZCTA 00727",665,"ZCTA 00727",36
"G00728","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00728",,,,,,,"86000US00728",,"ZCTA 00728",275,"ZCTA 00728",19
"G00729","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00729",,,,,,,"86000US00729",,"ZCTA 00729",387,"ZCTA 00729",37
"G00730","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00730",,,,,,,"86000US00730",,"ZCTA 00730",244,"ZCTA 00730",22
"G00731","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00731",,,,,,,"86000US00731",,"ZCTA 00731",169,"ZCTA 00731",16
"G00735","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00735",,,,,,,"86000US00735",,"ZCTA 00735",288,"ZCTA 00735",128
"G00736","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00736",,,,,,,"86000US00736",,"ZCTA 00736",328,"ZCTA 00736",47
"G00738","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00738",,,,,,,"86000US00738",,"ZCTA 00738",443,"ZCTA 00738",32
"G00739","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00739",,,,,,,"86000US00739",,"ZCTA 00739",272,"ZCTA 00739",55
"G00740","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00740",,,,,,,"86000US00740",,"ZCTA 00740",226,"ZCTA 00740",62
"G00741","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00741",,,,,,,"86000US00741",,"ZCTA 00741",419,"ZCTA 00741",82
"G00745","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00745",,,,,,,"86000US00745",,"ZCTA 00745",431,"ZCTA 00745",41
"G00751","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00751",,,,,,,"86000US00751",,"ZCTA 00751",191,"ZCTA 00751",16
"G00754","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00754",,,,,,,"86000US00754",,"ZCTA 00754",221,"ZCTA 00754",19
"G00757","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00757",,,,,,,"86000US00757",,"ZCTA 00757",317,"ZCTA 00757",79
"G00765","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00765",,,,,,,"86000US00765",,"ZCTA 00765",156,"ZCTA 00765",30
"G00766","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00766",,,,,,,"86000US00766",,"ZCTA 00766",179,"ZCTA 00766",14
"G00767","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00767",,,,,,,"86000US00767",,"ZCTA 00767",214,"ZCTA 00767",22
"G00769","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00769",,,,,,,"86000US00769",,"ZCTA 00769",236,"ZCTA 00769",27
"G00771","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00771",,,,,,,"86000US00771",,"ZCTA 00771",275,"ZCTA 00771",31
"G00772","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00772",,,,,,,"86000US00772",,"ZCTA 00772",175,"ZCTA 00772",13
"G00773","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00773",,,,,,,"86000US00773",,"ZCTA 00773",405,"ZCTA 00773",62
"G00775","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00775",,,,,,,"86000US00775",,"ZCTA 00775",232,"ZCTA 00775",23
"G00777","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00777",,,,,,,"86000US00777",,"ZCTA 00777",402,"ZCTA 00777",56
"G00778","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00778",,,,,,,"86000US00778",,"ZCTA 00778",582,"ZCTA 00778",67
"G00780","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00780",,,,,,,"86000US00780",,"ZCTA 00780",432,"ZCTA 00780",201
"G00782","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00782",,,,,,,"86000US00782",,"ZCTA 00782",249,"ZCTA 00782",50
"G00783","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00783",,,,,,,"86000US00783",,"ZCTA 00783",230,"ZCTA 00783",32
"G00784","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00784",,,,,,,"86000US00784",,"ZCTA 00784",258,"ZCTA 00784",28
"G00786","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00786",,,,,,,"86000US00786",,"ZCTA 00786",,"ZCTA 00786",
"G00791","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00791",,,,,,,"86000US00791",,"ZCTA 00791",267,"ZCTA 00791",31
"G00794","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00794",,,,,,,"86000US00794",,"ZCTA 00794",245,"ZCTA 00794",42
"G00795","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00795",,,,,,,"86000US00795",,"ZCTA 00795",264,"ZCTA 00795",44
"G00901","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00901",,,,,,,"86000US00901",,"ZCTA 00901",664,"ZCTA 00901",135
"G00906","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00906",,,,,,,"86000US00906",,"ZCTA 00906",2669,"ZCTA 00906",114
"G00907","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00907",,,,,,,"86000US00907",,"ZCTA 00907",846,"ZCTA 00907",69
"G00909","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00909",,,,,,,"86000US00909",,"ZCTA 00909",505,"ZCTA 00909",65
"G00911","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00911",,,,,,,"86000US00911",,"ZCTA 00911",751,"ZCTA 00911",67
"G00912","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00912",,,,,,,"86000US00912",,"ZCTA 00912",601,"ZCTA 00912",37
"G00913","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00913",,,,,,,"86000US00913",,"ZCTA 00913",250,"ZCTA 00913",28
"G00915","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00915",,,,,,,"86000US00915",,"ZCTA 00915",335,"ZCTA 00915",22
"G00917","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00917",,,,,,,"86000US00917",,"ZCTA 00917",430,"ZCTA 00917",50
"G00918","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00918",,,,,,,"86000US00918",,"ZCTA 00918",635,"ZCTA 00918",79
"G00920","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00920",,,,,,,"86000US00920",,"ZCTA 00920",670,"ZCTA 00920",37
"G00921","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00921",,,,,,,"86000US00921",,"ZCTA 00921",594,"ZCTA 00921",30
"G00923","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00923",,,,,,,"86000US00923",,"ZCTA 00923",389,"ZCTA 00923",35
"G00924","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00924",,,,,,,"86000US00924",,"ZCTA 00924",440,"ZCTA 00924",43
"G00925","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00925",,,,,,,"86000US00925",,"ZCTA 00925",452,"ZCTA 00925",50
"G00926","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00926",,,,,,,"86000US00926",,"ZCTA 00926",628,"ZCTA 00926",41
"G00927","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00927",,,,,,,"86000US00927",,"ZCTA 00927",572,"ZCTA 00927",43
"G00934","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00934",,,,,,,"86000US00934",,"ZCTA 00934",,"ZCTA 00934",
"G00936","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00936",,,,,,,"86000US00936",,"ZCTA 00936",,"ZCTA 00936",
"G00949","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00949",,,,,,,"86000US00949",,"ZCTA 00949",496,"ZCTA 00949",47
"G00950","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00950",,,,,,,"86000US00950",,"ZCTA 00950",,"ZCTA 00950",
"G00951","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00951",,,,,,,"86000US00951",,"ZCTA 00951",,"ZCTA 00951",
"G00952","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00952",,,,,,,"86000US00952",,"ZCTA 00952",207,"ZCTA 00952",44
"G00953","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00953",,,,,,,"86000US00953",,"ZCTA 00953",621,"ZCTA 00953",47
"G00956","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00956",,,,,,,"86000US00956",,"ZCTA 00956",470,"ZCTA 00956",33
"G00957","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00957",,,,,,,"86000US00957",,"ZCTA 00957",522,"ZCTA 00957",40
"G00959","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00959",,,,,,,"86000US00959",,"ZCTA 00959",608,"ZCTA 00959",33
"G00960","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00960",,,,,,,"86000US00960",,"ZCTA 00960",,"ZCTA 00960",
"G00961","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00961",,,,,,,"86000US00961",,"ZCTA 00961",583,"ZCTA 00961",35
"G00962","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00962",,,,,,,"86000US00962",,"ZCTA 00962",315,"ZCTA 00962",38
"G00965","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00965",,,,,,,"86000US00965",,"ZCTA 00965",229,"ZCTA 00965",34
"G00966","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00966",,,,,,,"86000US00966",,"ZCTA 00966",1027,"ZCTA 00966",75
"G00968","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00968",,,,,,,"86000US00968",,"ZCTA 00968",747,"ZCTA 00968",158
"G00969","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00969",,,,,,,"86000US00969",,"ZCTA 00969",904,"ZCTA 00969",90
"G00971","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00971",,,,,,,"86000US00971",,"ZCTA 00971",357,"ZCTA 00971",65
"G00976","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00976",,,,,,,"86000US00976",,"ZCTA 00976",552,"ZCTA 00976",38
"G00979","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00979",,,,,,,"86000US00979",,"ZCTA 00979",850,"ZCTA 00979",67
"G00982","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00982",,,,,,,"86000US00982",,"ZCTA 00982",569,"ZCTA 00982",45
"G00983","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00983",,,,,,,"86000US00983",,"ZCTA 00983",613,"ZCTA 00983",40
"G00985","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00985",,,,,,,"86000US00985",,"ZCTA 00985",513,"ZCTA 00985",45
"G00987","2016-2020","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00987",,,,,,,"86000US00987",,"ZCTA 00987",648,"ZCTA 00987",60
"G01001","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"01001",,,,,,,"86000US01001",,"ZCTA 01001",1148,"ZCTA 01001",46
"G01002","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"01002",,,,,,,"86000US01002",,"ZCTA 01002",1397,"ZCTA 01002",94
"G01003","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"01003",,,,,,,"86000US01003",,"ZCTA 01003",,"ZCTA 01003",
"G01005","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"01005",,,,,,,"86000US01005",,"ZCTA 01005",1395,"ZCTA 01005",179
"G01007","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"01007",,,,,,,"86000US01007",,"ZCTA 01007",1448,"ZCTA 01007",151
"G01008","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"01008",,,,,,,"86000US01008",,"ZCTA 01008",1327,"ZCTA 01008",140
"G01009","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"01009",,,,,,,"86000US01009",,"ZCTA 01009",1474,"ZCTA 01009",863
"G01010","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"01010",,,,,,,"86000US01010",,"ZCTA 01010",1427,"ZCTA 01010",311
"G01011","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"01011",,,,,,,"86000US01011",,"ZCTA 01011",1147,"ZCTA 01011",118
"G01012","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"01012",,,,,,,"86000US01012",,"ZCTA 01012",1014,"ZCTA 01012",187
"G01013","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"01013",,,,,,,"86000US01013",,"ZCTA 01013",958,"ZCTA 01013",59
"G01020","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"01020",,,,,,,"86000US01020",,"ZCTA 01020",1024,"ZCTA 01020",38
"G01022","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"01022",,,,,,,"86000US01022",,"ZCTA 01022",1121,"ZCTA 01022",156
"G01026","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"01026",,,,,,,"86000US01026",,"ZCTA 01026",921,"ZCTA 01026",77
"G01027","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"01027",,,,,,,"86000US01027",,"ZCTA 01027",1175,"ZCTA 01027",69
"G01028","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"01028",,,,,,,"86000US01028",,"ZCTA 01028",1496,"ZCTA 01028",117
"G01029","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"01029",,,,,,,"86000US01029",,"ZCTA 01029",1153,"ZCTA 01029",373
"G01030","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"01030",,,,,,,"86000US01030",,"ZCTA 01030",1349,"ZCTA 01030",87
"G01031","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"01031",,,,,,,"86000US01031",,"ZCTA 01031",988,"ZCTA 01031",205
"G01032","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"01032",,,,,,,"86000US01032",,"ZCTA 01032",1185,"ZCTA 01032",460
"G01033","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"01033",,,,,,,"86000US01033",,"ZCTA 01033",1299,"ZCTA 01033",286
"G01034","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"01034",,,,,,,"86000US01034",,"ZCTA 01034",1464,"ZCTA 01034",105
"G01035","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"01035",,,,,,,"86000US01035",,"ZCTA 01035",1249,"ZCTA 01035",223
"G01036","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"01036",,,,,,,"86000US01036",,"ZCTA 01036",1232,"ZCTA 01036",270
"G01037","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"01037",,,,,,,"86000US01037",,"ZCTA 01037",1083,"ZCTA 01037",702
"G01038","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"01038",,,,,,,"86000US01038",,"ZCTA 01038",1167,"ZCTA 01038",99
"G01039","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"01039",,,,,,,"86000US01039",,"ZCTA 01039",1385,"ZCTA 01039",220
"G01040","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"01040",,,,,,,"86000US01040",,"ZCTA 01040",920,"ZCTA 01040",25
"G01050","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"01050",,,,,,,"86000US01050",,"ZCTA 01050",1088,"ZCTA 01050",119
"G01053","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"01053",,,,,,,"86000US01053",,"ZCTA 01053",1551,"ZCTA 01053",383
"G01054","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"01054",,,,,,,"86000US01054",,"ZCTA 01054",1388,"ZCTA 01054",178
"G01056","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"01056",,,,,,,"86000US01056",,"ZCTA 01056",1133,"ZCTA 01056",74
"G01057","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"01057",,,,,,,"86000US01057",,"ZCTA 01057",1286,"ZCTA 01057",105
"G01060","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"01060",,,,,,,"86000US01060",,"ZCTA 01060",1336,"ZCTA 01060",45
"G01062","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"01062",,,,,,,"86000US01062",,"ZCTA 01062",1252,"ZCTA 01062",84
"G01063","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"01063",,,,,,,"86000US01063",,"ZCTA 01063",,"ZCTA 01063",
"G01066","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"01066",,,,,,,"86000US01066",,"ZCTA 01066",,"ZCTA 01066",
"G01068","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"01068",,,,,,,"86000US01068",,"ZCTA 01068",1259,"ZCTA 01068",173
"G01069","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"01069",,,,,,,"86000US01069",,"ZCTA 01069",1033,"ZCTA 01069",135
"G01070","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"01070",,,,,,,"86000US01070",,"ZCTA 01070",1068,"ZCTA 01070",259
"G01071","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"01071",,,,,,,"86000US01071",,"ZCTA 01071",1206,"ZCTA 01071",233
