GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,ANDYE001,NAME_M,ANDYM001
"G37721","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37721",,,,,,,"86000US37721",,"ZCTA 37721",838,"ZCTA 37721",70
"G37722","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37722",,,,,,,"86000US37722",,"ZCTA 37722",510,"ZCTA 37722",89
"G37723","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37723",,,,,,,"86000US37723",,"ZCTA 37723",342,"ZCTA 37723",167
"G37724","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37724",,,,,,,"86000US37724",,"ZCTA 37724",648,"ZCTA 37724",71
"G37725","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37725",,,,,,,"86000US37725",,"ZCTA 37725",826,"ZCTA 37725",65
"G37726","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37726",,,,,,,"86000US37726",,"ZCTA 37726",434,"ZCTA 37726",84
"G37727","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37727",,,,,,,"86000US37727",,"ZCTA 37727",365,"ZCTA 37727",88
"G37729","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37729",,,,,,,"86000US37729",,"ZCTA 37729",375,"ZCTA 37729",60
"G37730","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37730",,,,,,,"86000US37730",,"ZCTA 37730",,"ZCTA 37730",
"G37731","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37731",,,,,,,"86000US37731",,"ZCTA 37731",,"ZCTA 37731",
"G37732","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37732",,,,,,,"86000US37732",,"ZCTA 37732",,"ZCTA 37732",
"G37733","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37733",,,,,,,"86000US37733",,"ZCTA 37733",,"ZCTA 37733",
"G37737","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37737",,,,,,,"86000US37737",,"ZCTA 37737",961,"ZCTA 37737",195
"G37738","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37738",,,,,,,"86000US37738",,"ZCTA 37738",722,"ZCTA 37738",90
"G37742","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37742",,,,,,,"86000US37742",,"ZCTA 37742",871,"ZCTA 37742",158
"G37743","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37743",,,,,,,"86000US37743",,"ZCTA 37743",546,"ZCTA 37743",42
"G37745","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37745",,,,,,,"86000US37745",,"ZCTA 37745",657,"ZCTA 37745",68
"G37748","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37748",,,,,,,"86000US37748",,"ZCTA 37748",631,"ZCTA 37748",49
"G37752","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37752",,,,,,,"86000US37752",,"ZCTA 37752",549,"ZCTA 37752",45
"G37753","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37753",,,,,,,"86000US37753",,"ZCTA 37753",451,"ZCTA 37753",157
"G37754","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37754",,,,,,,"86000US37754",,"ZCTA 37754",659,"ZCTA 37754",98
"G37755","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37755",,,,,,,"86000US37755",,"ZCTA 37755",456,"ZCTA 37755",114
"G37756","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37756",,,,,,,"86000US37756",,"ZCTA 37756",498,"ZCTA 37756",56
"G37757","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37757",,,,,,,"86000US37757",,"ZCTA 37757",740,"ZCTA 37757",101
"G37760","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37760",,,,,,,"86000US37760",,"ZCTA 37760",687,"ZCTA 37760",55
"G37762","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37762",,,,,,,"86000US37762",,"ZCTA 37762",511,"ZCTA 37762",93
"G37763","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37763",,,,,,,"86000US37763",,"ZCTA 37763",713,"ZCTA 37763",48
"G37764","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37764",,,,,,,"86000US37764",,"ZCTA 37764",749,"ZCTA 37764",83
"G37765","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37765",,,,,,,"86000US37765",,"ZCTA 37765",435,"ZCTA 37765",149
"G37766","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37766",,,,,,,"86000US37766",,"ZCTA 37766",615,"ZCTA 37766",46
"G37769","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37769",,,,,,,"86000US37769",,"ZCTA 37769",585,"ZCTA 37769",105
"G37770","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37770",,,,,,,"86000US37770",,"ZCTA 37770",484,"ZCTA 37770",92
"G37771","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37771",,,,,,,"86000US37771",,"ZCTA 37771",790,"ZCTA 37771",81
"G37772","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37772",,,,,,,"86000US37772",,"ZCTA 37772",946,"ZCTA 37772",81
"G37774","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37774",,,,,,,"86000US37774",,"ZCTA 37774",749,"ZCTA 37774",45
"G37777","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37777",,,,,,,"86000US37777",,"ZCTA 37777",820,"ZCTA 37777",72
"G37779","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37779",,,,,,,"86000US37779",,"ZCTA 37779",460,"ZCTA 37779",122
"G37801","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37801",,,,,,,"86000US37801",,"ZCTA 37801",791,"ZCTA 37801",50
