GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,AGQNE001,NAME_M,AGQNM001
"G44452","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44452",,,,,,,"86000US44452",,"ZCTA5 44452",1029,"ZCTA5 44452",155
"G44454","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44454",,,,,,,"86000US44454",,"ZCTA5 44454",526,"ZCTA5 44454",83
"G44455","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44455",,,,,,,"86000US44455",,"ZCTA5 44455",719,"ZCTA5 44455",133
"G44460","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44460",,,,,,,"86000US44460",,"ZCTA5 44460",667,"ZCTA5 44460",21
"G44470","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44470",,,,,,,"86000US44470",,"ZCTA5 44470",718,"ZCTA5 44470",105
"G44471","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44471",,,,,,,"86000US44471",,"ZCTA5 44471",622,"ZCTA5 44471",41
"G44473","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44473",,,,,,,"86000US44473",,"ZCTA5 44473",621,"ZCTA5 44473",93
"G44481","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44481",,,,,,,"86000US44481",,"ZCTA5 44481",596,"ZCTA5 44481",41
"G44483","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44483",,,,,,,"86000US44483",,"ZCTA5 44483",635,"ZCTA5 44483",28
"G44484","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44484",,,,,,,"86000US44484",,"ZCTA5 44484",692,"ZCTA5 44484",26
"G44485","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44485",,,,,,,"86000US44485",,"ZCTA5 44485",559,"ZCTA5 44485",30
