GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,AGQNE001,NAME_M,AGQNM001
"G00601","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00601",,,,,,,"86000US00601",,"ZCTA5 00601",217,"ZCTA5 00601",27
"G00602","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00602",,,,,,,"86000US00602",,"ZCTA5 00602",182,"ZCTA5 00602",11
"G00603","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00603",,,,,,,"86000US00603",,"ZCTA5 00603",248,"ZCTA5 00603",20
"G00606","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00606",,,,,,,"86000US00606",,"ZCTA5 00606",144,"ZCTA5 00606",22
"G00610","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00610",,,,,,,"86000US00610",,"ZCTA5 00610",196,"ZCTA5 00610",15
"G00612","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00612",,,,,,,"86000US00612",,"ZCTA5 00612",287,"ZCTA5 00612",23
"G00616","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00616",,,,,,,"86000US00616",,"ZCTA5 00616",190,"ZCTA5 00616",24
"G00617","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00617",,,,,,,"86000US00617",,"ZCTA5 00617",273,"ZCTA5 00617",76
"G00622","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00622",,,,,,,"86000US00622",,"ZCTA5 00622",342,"ZCTA5 00622",138
"G00623","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00623",,,,,,,"86000US00623",,"ZCTA5 00623",375,"ZCTA5 00623",45
"G00624","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00624",,,,,,,"86000US00624",,"ZCTA5 00624",204,"ZCTA5 00624",22
"G00627","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00627",,,,,,,"86000US00627",,"ZCTA5 00627",249,"ZCTA5 00627",27
"G00631","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00631",,,,,,,"86000US00631",,"ZCTA5 00631",175,"ZCTA5 00631",32
"G00637","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00637",,,,,,,"86000US00637",,"ZCTA5 00637",187,"ZCTA5 00637",14
"G00638","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00638",,,,,,,"86000US00638",,"ZCTA5 00638",205,"ZCTA5 00638",27
"G00641","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00641",,,,,,,"86000US00641",,"ZCTA5 00641",194,"ZCTA5 00641",12
"G00646","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00646",,,,,,,"86000US00646",,"ZCTA5 00646",518,"ZCTA5 00646",80
"G00647","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00647",,,,,,,"86000US00647",,"ZCTA5 00647",161,"ZCTA5 00647",16
"G00650","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00650",,,,,,,"86000US00650",,"ZCTA5 00650",227,"ZCTA5 00650",24
"G00652","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00652",,,,,,,"86000US00652",,"ZCTA5 00652",202,"ZCTA5 00652",74
"G00653","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00653",,,,,,,"86000US00653",,"ZCTA5 00653",162,"ZCTA5 00653",19
"G00656","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00656",,,,,,,"86000US00656",,"ZCTA5 00656",179,"ZCTA5 00656",12
"G00659","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00659",,,,,,,"86000US00659",,"ZCTA5 00659",242,"ZCTA5 00659",18
"G00660","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00660",,,,,,,"86000US00660",,"ZCTA5 00660",278,"ZCTA5 00660",26
"G00662","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00662",,,,,,,"86000US00662",,"ZCTA5 00662",321,"ZCTA5 00662",44
"G00664","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00664",,,,,,,"86000US00664",,"ZCTA5 00664",212,"ZCTA5 00664",34
"G00667","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00667",,,,,,,"86000US00667",,"ZCTA5 00667",216,"ZCTA5 00667",32
"G00669","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00669",,,,,,,"86000US00669",,"ZCTA5 00669",234,"ZCTA5 00669",23
"G00670","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00670",,,,,,,"86000US00670",,"ZCTA5 00670",168,"ZCTA5 00670",24
"G00674","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00674",,,,,,,"86000US00674",,"ZCTA5 00674",312,"ZCTA5 00674",38
"G00676","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00676",,,,,,,"86000US00676",,"ZCTA5 00676",199,"ZCTA5 00676",15
"G00677","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00677",,,,,,,"86000US00677",,"ZCTA5 00677",192,"ZCTA5 00677",20
"G00678","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00678",,,,,,,"86000US00678",,"ZCTA5 00678",247,"ZCTA5 00678",44
"G00680","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00680",,,,,,,"86000US00680",,"ZCTA5 00680",226,"ZCTA5 00680",20
"G00682","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00682",,,,,,,"86000US00682",,"ZCTA5 00682",278,"ZCTA5 00682",27
"G00683","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00683",,,,,,,"86000US00683",,"ZCTA5 00683",178,"ZCTA5 00683",12
"G00685","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00685",,,,,,,"86000US00685",,"ZCTA5 00685",200,"ZCTA5 00685",17
"G00687","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00687",,,,,,,"86000US00687",,"ZCTA5 00687",247,"ZCTA5 00687",32
"G00688","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00688",,,,,,,"86000US00688",,"ZCTA5 00688",219,"ZCTA5 00688",26
"G00690","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00690",,,,,,,"86000US00690",,"ZCTA5 00690",333,"ZCTA5 00690",150
"G00692","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00692",,,,,,,"86000US00692",,"ZCTA5 00692",335,"ZCTA5 00692",45
"G00693","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00693",,,,,,,"86000US00693",,"ZCTA5 00693",265,"ZCTA5 00693",27
"G00694","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00694",,,,,,,"86000US00694",,"ZCTA5 00694",116,"ZCTA5 00694",62
"G00698","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00698",,,,,,,"86000US00698",,"ZCTA5 00698",192,"ZCTA5 00698",10
"G00703","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00703",,,,,,,"86000US00703",,"ZCTA5 00703",199,"ZCTA5 00703",26
"G00704","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00704",,,,,,,"86000US00704",,"ZCTA5 00704",247,"ZCTA5 00704",61
"G00705","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00705",,,,,,,"86000US00705",,"ZCTA5 00705",232,"ZCTA5 00705",12
"G00707","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00707",,,,,,,"86000US00707",,"ZCTA5 00707",224,"ZCTA5 00707",28
"G00714","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00714",,,,,,,"86000US00714",,"ZCTA5 00714",348,"ZCTA5 00714",54
"G00715","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00715",,,,,,,"86000US00715",,"ZCTA5 00715",219,"ZCTA5 00715",32
"G00716","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00716",,,,,,,"86000US00716",,"ZCTA5 00716",329,"ZCTA5 00716",47
"G00717","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00717",,,,,,,"86000US00717",,"ZCTA5 00717",298,"ZCTA5 00717",36
"G00718","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00718",,,,,,,"86000US00718",,"ZCTA5 00718",231,"ZCTA5 00718",38
"G00719","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00719",,,,,,,"86000US00719",,"ZCTA5 00719",222,"ZCTA5 00719",20
"G00720","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00720",,,,,,,"86000US00720",,"ZCTA5 00720",175,"ZCTA5 00720",10
"G00723","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00723",,,,,,,"86000US00723",,"ZCTA5 00723",238,"ZCTA5 00723",21
"G00725","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00725",,,,,,,"86000US00725",,"ZCTA5 00725",428,"ZCTA5 00725",21
"G00727","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00727",,,,,,,"86000US00727",,"ZCTA5 00727",638,"ZCTA5 00727",39
"G00728","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00728",,,,,,,"86000US00728",,"ZCTA5 00728",291,"ZCTA5 00728",30
"G00729","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00729",,,,,,,"86000US00729",,"ZCTA5 00729",388,"ZCTA5 00729",41
"G00730","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00730",,,,,,,"86000US00730",,"ZCTA5 00730",247,"ZCTA5 00730",23
"G00731","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00731",,,,,,,"86000US00731",,"ZCTA5 00731",185,"ZCTA5 00731",15
"G00735","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00735",,,,,,,"86000US00735",,"ZCTA5 00735",294,"ZCTA5 00735",37
"G00736","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00736",,,,,,,"86000US00736",,"ZCTA5 00736",330,"ZCTA5 00736",25
"G00738","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00738",,,,,,,"86000US00738",,"ZCTA5 00738",476,"ZCTA5 00738",45
"G00739","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00739",,,,,,,"86000US00739",,"ZCTA5 00739",301,"ZCTA5 00739",43
"G00740","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00740",,,,,,,"86000US00740",,"ZCTA5 00740",299,"ZCTA5 00740",271
"G00741","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00741",,,,,,,"86000US00741",,"ZCTA5 00741",511,"ZCTA5 00741",97
"G00745","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00745",,,,,,,"86000US00745",,"ZCTA5 00745",433,"ZCTA5 00745",46
"G00751","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00751",,,,,,,"86000US00751",,"ZCTA5 00751",196,"ZCTA5 00751",16
"G00754","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00754",,,,,,,"86000US00754",,"ZCTA5 00754",252,"ZCTA5 00754",29
"G00757","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00757",,,,,,,"86000US00757",,"ZCTA5 00757",301,"ZCTA5 00757",47
"G00765","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00765",,,,,,,"86000US00765",,"ZCTA5 00765",164,"ZCTA5 00765",38
"G00766","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00766",,,,,,,"86000US00766",,"ZCTA5 00766",176,"ZCTA5 00766",12
"G00767","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00767",,,,,,,"86000US00767",,"ZCTA5 00767",207,"ZCTA5 00767",18
"G00769","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00769",,,,,,,"86000US00769",,"ZCTA5 00769",275,"ZCTA5 00769",27
"G00771","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00771",,,,,,,"86000US00771",,"ZCTA5 00771",302,"ZCTA5 00771",35
"G00772","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00772",,,,,,,"86000US00772",,"ZCTA5 00772",187,"ZCTA5 00772",14
"G00773","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00773",,,,,,,"86000US00773",,"ZCTA5 00773",394,"ZCTA5 00773",60
"G00775","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00775",,,,,,,"86000US00775",,"ZCTA5 00775",255,"ZCTA5 00775",61
"G00777","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00777",,,,,,,"86000US00777",,"ZCTA5 00777",398,"ZCTA5 00777",39
"G00778","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00778",,,,,,,"86000US00778",,"ZCTA5 00778",669,"ZCTA5 00778",41
"G00780","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00780",,,,,,,"86000US00780",,"ZCTA5 00780",463,"ZCTA5 00780",92
"G00782","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00782",,,,,,,"86000US00782",,"ZCTA5 00782",199,"ZCTA5 00782",23
"G00783","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00783",,,,,,,"86000US00783",,"ZCTA5 00783",229,"ZCTA5 00783",21
"G00784","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00784",,,,,,,"86000US00784",,"ZCTA5 00784",242,"ZCTA5 00784",21
"G00786","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00786",,,,,,,"86000US00786",,"ZCTA5 00786",173,"ZCTA5 00786",130
"G00791","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00791",,,,,,,"86000US00791",,"ZCTA5 00791",293,"ZCTA5 00791",26
"G00794","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00794",,,,,,,"86000US00794",,"ZCTA5 00794",228,"ZCTA5 00794",16
"G00795","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00795",,,,,,,"86000US00795",,"ZCTA5 00795",274,"ZCTA5 00795",19
"G00901","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00901",,,,,,,"86000US00901",,"ZCTA5 00901",521,"ZCTA5 00901",66
"G00906","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00906",,,,,,,"86000US00906",,"ZCTA5 00906",2221,"ZCTA5 00906",306
"G00907","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00907",,,,,,,"86000US00907",,"ZCTA5 00907",796,"ZCTA5 00907",48
"G00909","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00909",,,,,,,"86000US00909",,"ZCTA5 00909",490,"ZCTA5 00909",46
"G00911","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00911",,,,,,,"86000US00911",,"ZCTA5 00911",732,"ZCTA5 00911",71
"G00912","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00912",,,,,,,"86000US00912",,"ZCTA5 00912",564,"ZCTA5 00912",56
"G00913","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00913",,,,,,,"86000US00913",,"ZCTA5 00913",203,"ZCTA5 00913",30
"G00915","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00915",,,,,,,"86000US00915",,"ZCTA5 00915",340,"ZCTA5 00915",18
"G00917","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00917",,,,,,,"86000US00917",,"ZCTA5 00917",398,"ZCTA5 00917",41
"G00918","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00918",,,,,,,"86000US00918",,"ZCTA5 00918",512,"ZCTA5 00918",99
"G00920","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00920",,,,,,,"86000US00920",,"ZCTA5 00920",630,"ZCTA5 00920",41
"G00921","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00921",,,,,,,"86000US00921",,"ZCTA5 00921",570,"ZCTA5 00921",21
"G00923","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00923",,,,,,,"86000US00923",,"ZCTA5 00923",385,"ZCTA5 00923",40
"G00924","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00924",,,,,,,"86000US00924",,"ZCTA5 00924",446,"ZCTA5 00924",32
"G00925","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00925",,,,,,,"86000US00925",,"ZCTA5 00925",458,"ZCTA5 00925",44
"G00926","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00926",,,,,,,"86000US00926",,"ZCTA5 00926",696,"ZCTA5 00926",43
"G00927","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00927",,,,,,,"86000US00927",,"ZCTA5 00927",595,"ZCTA5 00927",65
"G00934","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00934",,,,,,,"86000US00934",,"ZCTA5 00934",.,"ZCTA5 00934",.
"G00936","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00936",,,,,,,"86000US00936",,"ZCTA5 00936",.,"ZCTA5 00936",.
"G00949","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00949",,,,,,,"86000US00949",,"ZCTA5 00949",549,"ZCTA5 00949",27
"G00950","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00950",,,,,,,"86000US00950",,"ZCTA5 00950",.,"ZCTA5 00950",.
"G00951","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00951",,,,,,,"86000US00951",,"ZCTA5 00951",.,"ZCTA5 00951",.
"G00952","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00952",,,,,,,"86000US00952",,"ZCTA5 00952",298,"ZCTA5 00952",41
"G00953","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00953",,,,,,,"86000US00953",,"ZCTA5 00953",647,"ZCTA5 00953",46
"G00956","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00956",,,,,,,"86000US00956",,"ZCTA5 00956",510,"ZCTA5 00956",22
"G00957","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00957",,,,,,,"86000US00957",,"ZCTA5 00957",527,"ZCTA5 00957",34
"G00959","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00959",,,,,,,"86000US00959",,"ZCTA5 00959",645,"ZCTA5 00959",38
"G00960","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00960",,,,,,,"86000US00960",,"ZCTA5 00960",.,"ZCTA5 00960",.
"G00961","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00961",,,,,,,"86000US00961",,"ZCTA5 00961",564,"ZCTA5 00961",52
"G00962","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00962",,,,,,,"86000US00962",,"ZCTA5 00962",329,"ZCTA5 00962",33
"G00965","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00965",,,,,,,"86000US00965",,"ZCTA5 00965",263,"ZCTA5 00965",39
"G00966","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00966",,,,,,,"86000US00966",,"ZCTA5 00966",971,"ZCTA5 00966",65
"G00968","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00968",,,,,,,"86000US00968",,"ZCTA5 00968",889,"ZCTA5 00968",97
"G00969","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00969",,,,,,,"86000US00969",,"ZCTA5 00969",1051,"ZCTA5 00969",64
"G00971","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00971",,,,,,,"86000US00971",,"ZCTA5 00971",288,"ZCTA5 00971",44
"G00976","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00976",,,,,,,"86000US00976",,"ZCTA5 00976",615,"ZCTA5 00976",41
"G00979","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00979",,,,,,,"86000US00979",,"ZCTA5 00979",795,"ZCTA5 00979",51
"G00982","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00982",,,,,,,"86000US00982",,"ZCTA5 00982",577,"ZCTA5 00982",89
"G00983","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00983",,,,,,,"86000US00983",,"ZCTA5 00983",593,"ZCTA5 00983",45
"G00985","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00985",,,,,,,"86000US00985",,"ZCTA5 00985",519,"ZCTA5 00985",36
"G00987","2012-2016","PR",,,,,,,,,,,,,,,,,,,,,,,,,"00987",,,,,,,"86000US00987",,"ZCTA5 00987",683,"ZCTA5 00987",39
"G01001","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"01001",,,,,,,"86000US01001",,"ZCTA5 01001",1116,"ZCTA5 01001",59
"G01002","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"01002",,,,,,,"86000US01002",,"ZCTA5 01002",1290,"ZCTA5 01002",64
"G01003","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"01003",,,,,,,"86000US01003",,"ZCTA5 01003",1150,"ZCTA5 01003",619
"G01005","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"01005",,,,,,,"86000US01005",,"ZCTA5 01005",1182,"ZCTA5 01005",362
"G01007","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"01007",,,,,,,"86000US01007",,"ZCTA5 01007",1294,"ZCTA5 01007",106
"G01008","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"01008",,,,,,,"86000US01008",,"ZCTA5 01008",1331,"ZCTA5 01008",130
"G01009","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"01009",,,,,,,"86000US01009",,"ZCTA5 01009",717,"ZCTA5 01009",208
"G01010","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"01010",,,,,,,"86000US01010",,"ZCTA5 01010",1179,"ZCTA5 01010",138
"G01011","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"01011",,,,,,,"86000US01011",,"ZCTA5 01011",1089,"ZCTA5 01011",108
"G01012","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"01012",,,,,,,"86000US01012",,"ZCTA5 01012",1097,"ZCTA5 01012",147
"G01013","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"01013",,,,,,,"86000US01013",,"ZCTA5 01013",890,"ZCTA5 01013",38
"G01020","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"01020",,,,,,,"86000US01020",,"ZCTA5 01020",942,"ZCTA5 01020",32
"G01022","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"01022",,,,,,,"86000US01022",,"ZCTA5 01022",868,"ZCTA5 01022",154
"G01026","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"01026",,,,,,,"86000US01026",,"ZCTA5 01026",1029,"ZCTA5 01026",134
"G01027","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"01027",,,,,,,"86000US01027",,"ZCTA5 01027",1048,"ZCTA5 01027",65
"G01028","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"01028",,,,,,,"86000US01028",,"ZCTA5 01028",1401,"ZCTA5 01028",64
"G01029","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"01029",,,,,,,"86000US01029",,"ZCTA5 01029",832,"ZCTA5 01029",178
"G01030","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"01030",,,,,,,"86000US01030",,"ZCTA5 01030",1134,"ZCTA5 01030",72
"G01031","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"01031",,,,,,,"86000US01031",,"ZCTA5 01031",798,"ZCTA5 01031",141
"G01032","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"01032",,,,,,,"86000US01032",,"ZCTA5 01032",1063,"ZCTA5 01032",421
"G01033","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"01033",,,,,,,"86000US01033",,"ZCTA5 01033",1215,"ZCTA5 01033",180
"G01034","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"01034",,,,,,,"86000US01034",,"ZCTA5 01034",1182,"ZCTA5 01034",97
"G01035","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"01035",,,,,,,"86000US01035",,"ZCTA5 01035",1177,"ZCTA5 01035",248
"G01036","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"01036",,,,,,,"86000US01036",,"ZCTA5 01036",1394,"ZCTA5 01036",142
"G01037","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"01037",,,,,,,"86000US01037",,"ZCTA5 01037",1155,"ZCTA5 01037",347
"G01038","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"01038",,,,,,,"86000US01038",,"ZCTA5 01038",1155,"ZCTA5 01038",117
"G01039","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"01039",,,,,,,"86000US01039",,"ZCTA5 01039",1143,"ZCTA5 01039",129
"G01040","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"01040",,,,,,,"86000US01040",,"ZCTA5 01040",879,"ZCTA5 01040",21
"G01050","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"01050",,,,,,,"86000US01050",,"ZCTA5 01050",1188,"ZCTA5 01050",101
"G01053","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"01053",,,,,,,"86000US01053",,"ZCTA5 01053",1246,"ZCTA5 01053",178
"G01054","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"01054",,,,,,,"86000US01054",,"ZCTA5 01054",1445,"ZCTA5 01054",165
"G01056","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"01056",,,,,,,"86000US01056",,"ZCTA5 01056",1066,"ZCTA5 01056",92
"G01057","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"01057",,,,,,,"86000US01057",,"ZCTA5 01057",1138,"ZCTA5 01057",113
"G01060","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"01060",,,,,,,"86000US01060",,"ZCTA5 01060",1087,"ZCTA5 01060",52
"G01062","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"01062",,,,,,,"86000US01062",,"ZCTA5 01062",1150,"ZCTA5 01062",77
"G01063","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"01063",,,,,,,"86000US01063",,"ZCTA5 01063",.,"ZCTA5 01063",.
