scraped_city,facility,operator,street,zip_code,city_in_desc
Chicago,Lumen Chicago 4,Lumen,600 West Chicago Ave.,60610,Chicago
Chicago,Meta DeKalb - Building 3,Meta,1750 Metaverse Wy,60115,DeKalb
Chicago,Meta DeKalb - Building 4,Meta,1750 Metaverse Wy,60115,DeKalb
Chicago,Meta DeKalb - Building 1,Meta,2050 Metaverse Wy,60115,DeKalb
Chicago,Lumen Arlington Heights 1,Lumen,"1305 E. Algonquin Avenue,",60005,Arlington Heights
Chicago,Meta DeKalb - Building 5,Meta,1550 Metaverse Wy,60115,DeKalb
Chicago,Lumen Chicago 5,Lumen,600 S. Federal,60605,Chicago
Chicago,DLS Internet 216 Jackson,DLS Internet Services,216 West Jackson Blvd,60606,Chicago
Chicago,Hostway Boeing Data Center,"Hostway Services, Inc",100 North Riverside Plaza,60606,Chicago
Chicago,CBTS Lombard Data Center II,CBTS,564 Winter Lane,60148,Lombard
Chicago,Lumen Chicago 2,Lumen,900 N. Kingsbury Street,60610,Chicago
Houston,TRG Houston One HOU1,TRG Datacenters,2626 Spring Cypress Road,77388,Spring
Houston,TRG Houston Two HOU2,TRG Datacenters,2626 Spring Cypress Rd,77388,Spring
Houston,TRG Houston Campus,TRG Datacenters,2626 Spring Cypress Rd,77388,Spring
Houston,12235 North Fwy (IAH14),Digital Realty,12235 North Fwy,77060,Houston
Houston,12231 North Fwy (IAH13),Digital Realty,12231 North Fwy,77060,Houston
Houston,12061 North Freeway (IAH11),Digital Realty,12061 North Freeway,77060,Houston
Houston,12001 North Fwy (IAH10),Digital Realty,12001 North Fwy,77060,Houston
Houston,Digital Houston Campus,Digital Realty,12001-12245 North Fwy,77060,Houston
Houston,Skybox Houston One,Skybox Datacenters,22000 Franz Road,77449,Houston
Houston,EdgeConneX Houston,EdgeConneX,1510 Prime West Parkway,77449,Katy
Houston,Netrality - 1301 Fannin,Netrality,1301 Fannin Street,77002,Houston
Houston,1001 Texas Data Center,1001 Texas Data Center,1001 Texas Ave,77002,Houston
Houston,Stream DC Houston I - The Woodlands,Stream Data Centers,4001 Technology Forest Blvd,77381,The Woodlands
Houston,Lighthouse Data Center,PS Lightwave,3960 Braxton Dr,77063,Houston
Houston,Data Foundry- Houston 2,Data Foundry,660 Greens Pkwy,77067,Houston
Houston,DataBank HOU5 - Houston Galleria,DataBank,4201 Southwest Freeway,77027,Houston
Houston,DataBank HOU1 - Westway Park I,DataBank,5150 Westway Park Blvd,77041,Houston
Houston,Equinix HO1,Equinix,1515 Aldine Meadows Road,77032,Houston
Houston,DataBank HOU3 - Westway Park III,DataBank,11003 Corporate Centre Dr,77041,Houston
Houston,Cogent Data Center - Houston,"Cogent Communications, Inc.",12061 North Frwy,77060,Houston
Houston,DataBank HOU2 - Westway Park II,DataBank,5170 Westway Park Blvd,77041,Houston
Houston,Serverfarm Houston Data Center HTX2,Serverfarm,28401 Betka Rd,77447,Hockley
Houston,Quasar Data Center,Quasar Data Center,1001 Texas Ave,77002,Houston
Houston,Iozera Houston,Iozera,11631 Roark Rd,77031,Houston
Houston,"FIBERTOWN - Houston, Texas",FIBERTOWN,12031 North Freeway,77067,Houston
Houston,Crown Castle Houston (TX1),CROWN CASTLE,801 Louisiana St,77002,Houston
Houston,Cogent Data Center - Houston 2,"Cogent Communications, Inc.",8902 Point Six Circle,77095,Houston
Houston,Data Foundry - Houston 1,Data Foundry,5555 San Felipe,77056,Houston
Houston,Dataprana La Marque,Dataprana,4995 Farm to Market Rd 1764,77568,La Marque
Houston,LOGIX Houston #2,LOGIX FIBER NETWORKS,811 Louisiana St,77002,Houston
Houston,Serverfarm Houston Data Center CTX2,Serverfarm,15555 Cutten Rd,77070,Houston
Houston,Comcast Willis,Comcast,606 Texas State Highway 75,77378,Willis
Houston,24 Hour Data Houston,24 Hour Data,723 Main St,77002,Houston
Houston,Verizon Houston,Verizon Communications Inc.,2401 Portsmouth St,77098,Houston
Houston,Lumen Houston 1,Lumen,12001 1-45 North,77003,Houston
Houston,ECL TerraSite-TX1,EdgeCloudLink (ECL),within,"east of Houston, Texas",77028
Houston,Energy Transfer Data Center,Energy Transfer,7210 Ardmore,77054,Houston
Houston,Lumen Houston 3,Lumen,2300 Lyons Avenue,77020,Houston
Houston,Crusoe Port of Victoria Campus,Crusoe Cloud,within,Port of Victoria,77905
Houston,Project Aggie,Priority Power,Midtown Dr & Corporate Pkwy,77845,College Station
Houston,LOGIX Houston #1,LOGIX FIBER NETWORKS,"1510 Primewest Parkway, Energy Corridor",77449,Katy
Houston,LOGIX Houston #3,LOGIX FIBER NETWORKS,4635 Southwest Freeway,77027,Houston
Houston,Hostrunway Houston,Hostrunway,10685-B Hazelhurst Dr. # 19283,77043,Houston
Houston,Serverfarm Houston Data Center CTX1,Serverfarm,within,Houston,77070
Houston,Serverfarm Houston Data Center HTX1,Serverfarm,within,North West of Houston,7747
Houston,IBM HOU00,IBM,835 Greens Parkway,77002,Houston
Houston,Evocative - INAP Houston,Evocative Data Centers,1301 Fannin St,77022,Houston
Houston,Project Aggie - Building 2,Priority Power,Midtown Dr & Corporate Pkwy,77845,College Station
Houston,IBM HOU04,IBM,315 Capitol St,77002,Houston
Houston,"Lumen, 3939 Corporate Dr",Lumen,5959 Coprporate Drive,77036,Houston
Houston,Project Aggie - Building 1,Priority Power,Midtown Dr & Corporate Pkwy,77845,College Station
Houston,IBM HOU01,IBM,390 Benmar Drive,77060,Houston
Houston,CyrusOne HOU3 - Houston,CyrusOne Data Centers,11003 Corporate Centre Dr,77041,Houston
Houston,CyrusOne HOU4 - Houston,CyrusOne Data Centers,5160 Westway Park Blvd,77041,Houston
Houston,"Lumen, 1124 Hardy Rd",Lumen,1124 Hardy Rd,77020,Houston
Houston,IBM HOU02,IBM,855 Greens Parkway,77067,Houston
Houston,Lumen Houston 2,Lumen,7060 Empire Central Dr,77040,Houston
Houston,NaviSite Houston,"NaviSite, Inc.",1301 Fannin Street,77002,Houston
Houston,TeleSource IDC,TeleSource Communications Inc.,1301 Fannin St,77002,Houston
Phoenix,2121 S. Price Road (PHX15),Digital Realty,2121 S. Price Road,85286,Chandler
Phoenix,120 East Van Buren St (PHX10),Digital Realty,120 East Van Buren Street,85004,Phoenix
Phoenix,Flexential Phoenix - Deer Valley Data Center,Flexential,1850 W. Deer Valley Rd,85027,Phoenix
Phoenix,Iron Mountain Data Centers AZS-1,Iron Mountain Data Centers,8521 E Princess Drive,85255,Scottsdale
Phoenix,H5 Data Centers Phoenix,H5 Data Centers,2600 W. Germann Rd.,85286,Chandler
Phoenix,CyrusOne Phoenix Campus,CyrusOne Data Centers,2335 South Ellis St,85286,Chandler
Phoenix,GDC - Phoenix PH1 Data Center,"NTT DATA, Inc.",10256 E Elliot Rd,85212,Mesa
Phoenix,US Signal Phoenix AZ01,"US Signal Company, LLC",1655 W Sunrise Blvd,85233,Gilbert
Phoenix,Iron Mountain Data Centers AZP-1,Iron Mountain Data Centers,615 North 48th Street,85008,Phoenix
Phoenix,PhoenixNAP East University,PhoenixNAP,3402 E University Dr,85034,Phoenix
Phoenix,Iron Mountain Data Centers AZP-2,Iron Mountain Data Centers,4802 East Van Buren Street,85008,Phoenix
Phoenix,Centersquare - Phoenix PHX3-A,Csquare,1301 W University Drive,85201,Mesa
Phoenix,Comarch Mesa,Comarch,3223 S Ellsworth Rd,85212,Mesa
Phoenix,Prime Phoenix Data Center Campus,Prime Data Centers,11753 W Lower Buckeye Rd,85353,Avondale
Phoenix,Prime Phoenix - Building 4,Prime Data Centers,11753 W. Lower Buckeye #4,85323,Avondale
Phoenix,Prime Phoenix - Building 1,Prime Data Centers,11753 W. Lower Buckeye #1,85323,Avondale
Phoenix,EdgeConneX Phoenix - EDCPHX01,EdgeConneX,3011 S. 52nd St,85282,Tempe
Phoenix,Prime Phoenix - Building 2,Prime Data Centers,11753 W. Lower Buckeye #2,85323,Avondale
Phoenix,Prime Phoenix - Building 3,Prime Data Centers,11753 W. Lower Buckeye #3,85323,Avondale
Phoenix,Prime Phoenix - Building 5,Prime Data Centers,11753 W. Lower Buckeye #5,85323,Avondale
Phoenix,CyrusOne PHX3 - Chandler,CyrusOne Data Centers,2305 South Ellis St.,85286,Chandler
Phoenix,LightEdge - Phoenix,LightEdge,120 East Van Buren,85004,Phoenix
Phoenix,Aligned PHX01,Aligned Data Centers,2500 West Union Hills,85027,Phoenix
Phoenix,CyrusOne PHX1 - Chandler,CyrusOne Data Centers,2335 South Ellis St.,85286,Chandler
Phoenix,LexisNexis Scottsdale,LexisNexis,8521 E Princess Dr,85255,Scottsdale
Phoenix,"Stream DC Phoenix I - VI , Goodyear Campus",Stream Data Centers,2950 S. Litchfield Road,85338,Goodyear
Phoenix,Centersquare - Phoenix PHX1-A,Csquare,615 N 48th St,85008,Phoenix
Phoenix,11:11 Systems Scottsdale,11:11 Systems,7499 E Paradise Ln,85260,Scottsdale
Phoenix,Evocative PHX1,Evocative Data Centers,2500 W Union Hills Drive,85048,Phoenix
Phoenix,CyrusOne PHX2 - Chandler,CyrusOne Data Centers,2305 South Ellis St.,85286,Chandler
Phoenix,CyrusOne PHX4 - Chandler,CyrusOne Data Centers,2495 South Ellis St.,85286,Chandler
Phoenix,CyrusOne PHX5 - Chandler,CyrusOne Data Centers,2405 South Ellis St.,85286,Chandler
Phoenix,CyrusOne PHX6 - Chandler,CyrusOne Data Centers,2605 South Ellis St.,85286,Chandler
Phoenix,EdgeCore Phoenix Campus,EdgeCore,3856 S Everton Terrace,85212,Mesa
Phoenix,Edged Phoenix,Edged Energy,8811 E Warner Rd,85296,Gilbert
Phoenix,DCX Goodyear,DCX,16422 W Commerce Dr,85338,Goodyear
Phoenix,CyrusOne PHX7 - Chandler,CyrusOne Data Centers,2705 South Ellis St.,85286,Chandler
Phoenix,Centersquare - Phoenix PHX2-A,Csquare,2055 E Technology Cir,85284,Tempe
Phoenix,Cogent Data Center - Phoenix,"Cogent Communications, Inc.",3410 E. University Drive,85034,Phoenix
Phoenix,DataBank PHX1 - Downtown Phoenix,DataBank,3110 N Central St,85012,Phoenix
Phoenix,Southwest Crossing Data Center Campus,"Ryan Companies US, Inc.",W Houser Rd,85131,Eloy
Phoenix,Cogent Data Center - Phoenix 2,"Cogent Communications, Inc.",1530 E Roeser Rd,85040,Phoenix
Phoenix,Omnis Data Center,Omnis Network,1005 W Geneva Dr,85282,Tempe
Phoenix,Compass Goodyear Campus,Compass Datacenters,850 S Bullard Ave,85338,Goodyear
Phoenix,EdgeCore PH03,EdgeCore,3856 S Everton Terrace,85212,Mesa
Phoenix,EdgeCore PH01,EdgeCore,3856 S Everton Terrace,85212,Mesa
Phoenix,Novva Mesa,Novva,S Ellsworth Rd & E Warner Rd,85212,Mesa
Phoenix,EdgeCore PH02,EdgeCore,3856 S Everton Terrace,85212,Mesa
Phoenix,CyrusOne PHX8 - Chandler,CyrusOne Data Centers,2705 South Ellis St.,85286,Chandler
Phoenix,DataBank PHX2 - Phoenix Sky Harbor,DataBank,615 North 48th Street,85008,Phoenix
Phoenix,2500 W Frye Rd,Lincoln Property Company,2500 W Frye Rd,85224,Chandler
Phoenix,5CDC Phoenix - PHX01,5C Group Inc.,within,"Phoenix, Arizona",TBA
Phoenix,PhoenixNAP West University,PhoenixNAP,2353 W University Dr,85281,Tempe
Phoenix,ColoBarn Phoenix Data Center,ColoBarn,8905 S Beck Ave,85284,Tempe
Phoenix,QTS Phoenix-Van Buren,QTS Data Centers,120 East Van Buren Street,85004,Phoenix
Phoenix,EdgeCore PH04,EdgeCore,3856 S Everton Terrace,85212,Mesa
Phoenix,Buckeye Tech Corridor,Tract,W Yuma Rd & S Johnson Rd,85396,Buckeye
Phoenix,Microsoft Goodyear Airpark Campus,Microsoft,W Broadway Rd,85338,Goodyear
Phoenix,Microsoft Goodyear (PHX70),Microsoft,3785 N Citrus Rd,85395,Goodyear
Phoenix,PhoenixNAP East Elwood,PhoenixNAP,3221 E Elwood St,85034,Phoenix
Phoenix,EdgeCore PH05,EdgeCore,3856 S Everton Terrace,85212,Mesa
Phoenix,Microsoft Goodyear Campus,Microsoft,3785 N Citrus Rd,85395,Goodyear
Phoenix,Microsoft El Mirage Campus,Microsoft,12901 W Olive Ave,85335,El Mirage
Phoenix,Microsoft GoodyearAirpark (PHX10),Microsoft,W Broadway Rd,85338,Goodyear
Phoenix,Expedient Phoenix,Expedient Data Centers,2475 W Townley Ave,85021,Phoenix
Phoenix,Iron Mountain Data Centers AZP-3,Iron Mountain Data Centers,1110 N 52nd St,85008,Phoenix
Phoenix,QTS Phoenix Campus,QTS Data Centers,1200 40th Street,85008,Phoenix
Phoenix,CGI Phoenix Data Center,CGI,within,15 km from downtown,85044
Phoenix,Liquid Web Phoenix,Liquid Web,7025 N Scottsdale Rd,85253,Scottsdale
Phoenix,Vantage Phoenix Campus (AZ1),Vantage Data Centers,45 S Bullard Ave,85338,Goodyear
Phoenix,Southwest Crossing Data Center 2,"Ryan Companies US, Inc.",W Houser Rd,85131,Eloy
Phoenix,Southwest Crossing Data Center 1,"Ryan Companies US, Inc.",W Houser Rd,85131,Eloy
Phoenix,Southwest Crossing Data Center 3,"Ryan Companies US, Inc.",W Houser Rd,85131,Eloy
Phoenix,ClearData Data Center,Cleardata Networks,4250 E Camelback Rd,85018,Phoenix
Phoenix,Hostrunway Phoenix,Hostrunway,2600 W Germann Rd Chandler,AZ 85286,Phoenix
Phoenix,NexusTek Data Center,NexusTek,1919 W Lone Cactus Dr,85027,Phoenix
Phoenix,Apple Mesa Data Center,Apple,3740 S Signal Butte Road,85212,Mesa
Phoenix,Microsoft Goodyear (PHX71),Microsoft,3785 N Citrus Rd,85395,Goodyear
Phoenix,QTS Avondale,QTS Data Centers,S Avondale Blvd & W Lower Buckeye Rd,85353,Avondale
Phoenix,Microsoft El Mirage (PHX80),Microsoft,12901 W Olive Ave,85335,El Mirage
Phoenix,Aligned PHX07,Aligned Data Centers,8785 N Reems Rd,85355,Waddell
Phoenix,NTT Mesa Campus,"NTT DATA, Inc.",E Pecos Rd & S Crismon Rd,85212,Mesa
Phoenix,Vermaland Pinal County,Vermaland,E Sasco Rd,85131,Eloy
Phoenix,Lumen Phoenix 3,Lumen,801 South 16th Street,85034,Phoenix
Phoenix,QTS Glendale,QTS Data Centers,4001 N 159th Ave,85305,Glendale
Phoenix,Microsoft Goodyear Airpark (PHX13),Microsoft,W Broadway Rd,85338,Goodyear
Phoenix,Aligned - Peoria Logistics Park,Aligned Data Centers,"Peoria Logistics Park, N 75th Ave & W Northern Ave",85345,Peoria
Phoenix,Meta Mesa Campus,Meta,3841 S Ellsworth Rd,85212,Mesa
Phoenix,Compass Goodyear - Building 1,Compass Datacenters,850 S Bullard Ave,85338,Goodyear
Phoenix,Microsoft El Mirage (PHX83),Microsoft,12901 W Olive Ave,85335,El Mirage
Phoenix,Phoenix Internet,Phoenix Internet,2922 W Clarendon Ave,85017,Phoenix
Phoenix,Pinal Airpark Road,Beale Infrastructure,E Pinal Airpark Rd & I-10,85653,Marana
Phoenix,Microsoft Goodyear Airpark (PHX11),Microsoft,W Broadway Rd,85338,Goodyear
Phoenix,Aligned PHX08,Aligned Data Centers,3202 W Behrend Dr,85027,Chandler
Phoenix,Aligned PHX09,Aligned Data Centers,3151 W Behrend Dr,85027,Chandler
Phoenix,Compass Goodyear - Building 3,Compass Datacenters,850 S Bullard Ave,85338,Goodyear
Phoenix,Microsoft Goodyear Airpark (PHX15),Microsoft,W Broadway Rd,85338,Goodyear
Phoenix,Microsoft El Mirage (PHX81),Microsoft,12901 W Olive Ave,85335,El Mirage
Phoenix,Hassayampa Ranch,Arizona Land Consulting (ALC),"Hassayampa Ranch, Tonopah Salome Hwy",85354,Buckeye
Phoenix,Aligned PHX06,Aligned Data Centers,2500 S Price Rd,85286,Chandler
Phoenix,Microsoft Goodyear Airpark (PHX14),Microsoft,W Broadway Rd,85338,Goodyear
Phoenix,Aligned PHX13,Aligned Data Centers,8805 N Reems Rd,85355,Waddell
Phoenix,Aligned PHX14,Aligned Data Centers,8805 N Reems Rd,85355,Waddell
Phoenix,Aligned PHX04,Aligned Data Centers,S Price Rd & W Innovation St,85286,Chandler
Phoenix,Aligned PHX12,Aligned Data Centers,8805 N Reems Rd,85355,Waddell
Phoenix,Amazon AWS - Loop 202 & Dobbins Road,Amazon AWS,Loop 202 and W Dobbins Road,85339,Laveen
Phoenix,Johnson Road and Southern Avenue,Arizona Land Consulting (ALC),W Southern Ave & S Johnson Rd,85326,Buckeye
Phoenix,Microsoft Goodyear Airpark (PHX12),Microsoft,W Broadway Rd,85338,Goodyear
Phoenix,Windstream Phoenix,Windstream,1710 E Grant St,85034,Phoenix
Phoenix,Microsoft El Mirage (PHX82),Microsoft,12901 W Olive Ave,85335,El Mirage
Phoenix,Compass Goodyear - Building 2,Compass Datacenters,850 S Bullard Ave,85338,Goodyear
Phoenix,Compass PHX II Campus,Compass Datacenters,W Peoria Ave & N El Mirage Rd,85335,El Mirage
Phoenix,Compass PHX II - Building 1,Compass Datacenters,W Peoria Ave & N El Mirage Rd,85335,El Mirage
Phoenix,Compass PHX II - Building 2,Compass Datacenters,W Peoria Ave & N El Mirage Rd,85335,El Mirage
Phoenix,Compass PHX II - Building 3,Compass Datacenters,W Peoria Ave & N El Mirage Rd,85335,El Mirage
Phoenix,HBS Phoenix,Heartland Business System,10201 S 51st St,85044,Phoenix
Phoenix,ColoHouse Phoenix,ColoHouse,2335 South Ellis Street,85286,Chandler
Phoenix,Vantage AZ14 - Phoenix,Vantage Data Centers,45 S Bullard Ave,85338,Goodyear
Phoenix,EdgeCore Florence Tech Park - Building 7,EdgeCore,E Arizona Farms Rd & N Attaway Rd,85143,Florence
Phoenix,Vantage AZ15 - Phoenix,Vantage Data Centers,45 S Bullard Ave,85338,Goodyear
Phoenix,EdgeCore Florence Tech Park - Building 5,EdgeCore,E Arizona Farms Rd & N Attaway Rd,85143,Florence
Phoenix,EdgeCore Florence Tech Park - Building 1,EdgeCore,E Arizona Farms Rd & N Attaway Rd,85143,Florence
Phoenix,EdgeCore Florence Tech Park - Building 2,EdgeCore,E Arizona Farms Rd & N Attaway Rd,85143,Florence
Phoenix,EdgeCore Florence Tech Park,EdgeCore,E Arizona Farms Rd & N Attaway Rd,85143,Florence
Phoenix,EdgeCore Florence Tech Park - Building 9,EdgeCore,E Arizona Farms Rd & N Attaway Rd,85143,Florence
Phoenix,EdgeCore Florence Tech Park - Building 3,EdgeCore,E Arizona Farms Rd & N Attaway Rd,85143,Florence
Phoenix,EdgeCore Florence Tech Park - Building 10,EdgeCore,E Arizona Farms Rd & N Attaway Rd,85143,Florence
Phoenix,EdgeCore Florence Tech Park - Building 8,EdgeCore,E Arizona Farms Rd & N Attaway Rd,85143,Florence
Phoenix,EdgeCore Florence Tech Park - Building 4,EdgeCore,E Arizona Farms Rd & N Attaway Rd,85143,Florence
Phoenix,EdgeCore Florence Tech Park - Building 6,EdgeCore,E Arizona Farms Rd & N Attaway Rd,85143,Florence
Phoenix,Google Mesa Campus,Google,E Elliot Rd & S Sossaman Rd,85212,Mesa
Phoenix,AT&T Mesa,AT&T,1355 W University Drive,85201,Mesa
Phoenix,STACK Infrastructure PHX01C,STACK INFRASTRUCTURE,W Lower Buckeye Rd & S Litchfield Rd,85323,Avondale
Phoenix,Google Mesa - Phase 1,Google,E Elliot Rd & S Sossaman Rd,85212,Mesa
Phoenix,Meta Mesa - Building 5,Meta,3841 S Ellsworth Rd,85212,Mesa
Phoenix,Lumen Phoenix 2,Lumen,17 E. Virginia Ave,85004,Phoenix
Phoenix,Vantage AZ13 - Phoenix,Vantage Data Centers,45 S Bullard Ave,85338,Goodyear
Phoenix,Google Mesa - Phase 2,Google,E Elliot Rd & S Sossaman Rd,85212,Mesa
Phoenix,Meta Mesa - Building 1,Meta,3841 S Ellsworth Rd,85212,Mesa
Phoenix,Meta Mesa - Building 4,Meta,3841 S Ellsworth Rd,85212,Mesa
Phoenix,Vantage AZ11 - Phoenix,Vantage Data Centers,45 S Bullard Ave,85338,Goodyear
Phoenix,Vantage AZ12 - Phoenix,Vantage Data Centers,45 S Bullard Ave,85338,Goodyear
Phoenix,Meta Mesa - Building 2,Meta,3841 S Ellsworth Rd,85212,Mesa
Phoenix,Meta Mesa - Building 3,Meta,3841 S Ellsworth Rd,85212,Mesa
Phoenix,STACK Infrastructure PHX01B,STACK INFRASTRUCTURE,W Lower Buckeye Rd & S Litchfield Rd,85323,Avondale
Phoenix,STACK Infrastructure PHX01A,STACK INFRASTRUCTURE,W Lower Buckeye Rd & S Litchfield Rd,85323,Avondale
Phoenix,Lumen Phoenix 1,Lumen,811 South 16th Street,85034,Phoenix
Phoenix,Google Mesa - Phase 3,Google,E Elliot Rd & S Sossaman Rd,85212,Mesa
Phoenix,Menlo Digital MD-PX1 (Phoenix),Menlo Digital,4801-4811 E Thistle Landing Dr,85044,Phoenix
Phoenix,Lumen Phoenix 4,Lumen,3220 N 3rd St,85012,Phoenix
Phoenix,Menlo Digital MD-PX1 - Building 3,Menlo Digital,4801-4811 E Thistle Landing Dr,85044,Phoenix
Phoenix,Menlo Digital MD-PX1 - Building 4,Menlo Digital,4801-4811 E Thistle Landing Dr,85044,Phoenix
Phoenix,Menlo Digital MD-PX1 - Building 2,Menlo Digital,4801-4811 E Thistle Landing Dr,85044,Phoenix
Phoenix,Menlo Digital MD-PX1 - Building 5,Menlo Digital,4801-4811 E Thistle Landing Dr,85044,Phoenix
Phoenix,Menlo Digital MD-PX1 - Building 1,Menlo Digital,4801-4811 E Thistle Landing Dr,85044,Phoenix
Philadelphia,Flexential Phiadelphia - Collegeville Data Center,Flexential,101 Troutman Rd,19426,Collegeville
Philadelphia,Netrality - 401 N Broad,Netrality,401 N Broad,19106,Philadelphia
Philadelphia,TierPoint Lehigh Valley,TierPoint,3949 Schelden Circle,18017,Bethlehem
Philadelphia,TierPoint Philadelphia- Navy Yard,TierPoint,4775 League Island Boulevard,Philadelphia,Pennsylvania
Philadelphia,Colocation America PHILLYDC2,Colocation America,1000 Adams Ave,19403,Eagleville
Philadelphia,DataBank PHL1 - Downtown Philadelphia,DataBank,401 N Broad St,19108,Philadelphia
Philadelphia,Keystone NAP,Keystone NAP,150 Solar Dr,19030,Fairless Hills
Philadelphia,365 Data Centers - Philadelphia (University City),365 Data Centers,3701 Market St,19104,Philadelphia
Philadelphia,Equinix PH1,Equinix,401 North Broad Street,19123,Philadelphia
Philadelphia,H5 Data Centers Philadelphia,H5 Data Centers,1500 Spring Garden St,19130,Philadelphia
Philadelphia,365 Data Centers - Philadelphia (Downtown),365 Data Centers,1500 Spring Garden St,19130,Philadelphia
Philadelphia,TrueNet,TrueNet,24 Hagerty Blvd,19382,West Chester
Philadelphia,11:11 Systems Philadelphia,11:11 Systems,401 N Broad Street,19108,Philadelphia
Philadelphia,DaSTOR King of Prussia I,"DaSTOR, LLC",411 Swedeland Rd,19406,King of Prussia
Philadelphia,DaSTOR King of Prussia II,"DaSTOR, LLC",3400 Horizon Dr.,19406,King of Prussia
Philadelphia,Comcast Moorestown,Comcast,650 Centerton Rd,08057,Moorestown
Philadelphia,Crown Castle Philadelphia (PA1),CROWN CASTLE,401 N Broad St,19108,Philadelphia
Philadelphia,Crown Castle Philadelphia (PA2),CROWN CASTLE,1309 Noble St,19123,Philadelphia
Philadelphia,Unisecure Philadelphia DC,Unisecure Data Centers,2401 Locust St,19103,Philadelphia
Philadelphia,Colocation America PHILLYDC3,Colocation America,3949 Schelden Cir,18017,Bethlehem
Philadelphia,Windstream New York,Windstream,401 N Broad Street,19123,New York
Philadelphia,Unisecure Conshohocken DC,Unisecure Data Centers,555 E North Ln,19428,Conshohocken
Philadelphia,1547 Chester County PA,1547 Critical Systems Realty,N Malvern Hunt Way & Swedesford Rd,19355,Malvern
Philadelphia,ColoHouse Philadelphia,ColoHouse,2401 Locust Street,19103,Philadelphia
Philadelphia,Digital Edge Philly,Digital Edge,401 N Broad Street,19123,Philadelphia
Philadelphia,Comcast West Chester,Comcast,1354 E Boot Rd,19380,West Chester
Philadelphia,Colocation America PHILLYDC1,Colocation America,9999 Hamilton Blvd,18031,Breinigsville
Philadelphia,York  Energy Center DC,Calpine Corporation,1055 Pikes Peak Rd,17314,Delta
Philadelphia,Keystone Trade Center,NorthPoint Development,700 S Port Rd,19030,Fairless Hills
Philadelphia,LightWave Networks,"LightWave Networks, Inc",401 North Broad St,19108,Philadelphia
Philadelphia,Pennhurst Data Center Campus,Unknown Company,1205 Commonwealth Dr,19475,Spring City
Philadelphia,Lumen Philadelphia 1,Lumen,401 N Broad Street,19123,Philadelphia
Philadelphia,Project Laurel - Building 2,Unknown Company,Evergreen Rd & Sanatoga Rd,19464,Pottstown
Philadelphia,Project Laurel Campus,Unknown Company,Sanatoga Rd / Evergreen Rd / Possum Hollow Rd / Lightcap Rd,19464,Pottstown
Philadelphia,Project Laurel - Building 7,Unknown Company,Lightcap Rd,19464,Pottstown
Philadelphia,Project Laurel - Building 6,Unknown Company,Lightcap Rd,19464,Pottstown
Philadelphia,Project Laurel - Building 3,Unknown Company,Sanatoga Rd,19464,Pottstown
Philadelphia,Project Laurel - Building 1,Unknown Company,Evergreen Rd,19464,Pottstown
Philadelphia,Project Laurel - Building 8,Unknown Company,Lightcap Rd & Possum Hollow Rd,19464,Pottstown
Philadelphia,Project Laurel - Building 5,Unknown Company,Lightcap Rd,19464,Pottstown
Philadelphia,Project Laurel - Building 4,Unknown Company,Sanatoga Rd,19464,Pottstown
Philadelphia,Lumen Philadelphia 2,Lumen,701 Market Street,19106,Philadelphia
Philadelphia,Lumen Philadelphia 3,Lumen,3020 Market Street,19104,Philadelphia
San Antonio,CyrusOne SAT1 - San Antonio,CyrusOne Data Centers,9999 Westover Hills Blvd,78251,San Antonio
San Antonio,CyrusOne SAT2 - San Antonio,CyrusOne Data Centers,9554 Westover Hills Blvd,78251,San Antonio
San Antonio,CyrusOne SAT5 - San Antonio,CyrusOne Data Centers,14719 Omicron Dr.,78245,San Antonio
San Antonio,SATC Colo,SATC Colo,3463 Magic Drive,78229,San Antonio
San Antonio,H5 Data Centers San Antonio,H5 Data Centers,100 Taylor St.,78205,San Antonio
San Antonio,Stream DC San Antonio II - Westover Hills,Stream Data Centers,9550 Westover Hills Blvd,78251,San Antonio
San Antonio,Vantage TX12 - San Antonio,Vantage Data Centers,17420 Omicron Dr,78245,San Antonio
San Antonio,Vantage TX11 - San Antonio,Vantage Data Centers,14720 Omicron Dr,78245,San Antonio
San Antonio,CloudHQ SAT Campus,CloudHQ,15255 Lambda Dr,78245,San Antonio
San Antonio,Microsoft Texas Research Park (TRP1),Microsoft,15000 Lambda Dr,78245,San Antonio
San Antonio,Microsoft Texas Research Park (TRP2),Microsoft,15000 Lambda Dr,78245,San Antonio
San Antonio,CityNAP,CityNAP,415 N Main Ave,78205,San Antonio
San Antonio,San Antonio Data Center,"Five 9s Digital, LLC",8500 Vicar Drive,78218,San Antonio
San Antonio,CloudHQ SAT5,CloudHQ,15255 Lambda Dr,78245,San Antonio
San Antonio,CloudHQ SAT1,CloudHQ,15255 Lambda Dr,78245,San Antonio
San Antonio,CloudHQ SAT3,CloudHQ,15255 Lambda Dr,78245,San Antonio
San Antonio,CloudHQ SAT4,CloudHQ,15255 Lambda Dr,78245,San Antonio
San Antonio,Stream DC San Antonio III,Stream Data Centers,11203 W Military Drive,78253,San Antonio
San Antonio,American Tower EDC San Antonio,American Tower Corporation,5436 W US Hwy 90,78219,San Antonio
San Antonio,CloudHQ SAT2,CloudHQ,15255 Lambda Dr,78245,San Antonio
San Antonio,Microsoft Texas Research Park,Microsoft,15000 Lambda Dr,78245,San Antonio
