scraped_city,facility,operator,street,zip_code,city_in_desc
Los Angeles,Colocation America LADC3,Colocation America,600 W. 7th St,90017,Los Angeles
Los Angeles,West 7 Center,Rising Realty Partners,1200 West 7th Street,90017,Los Angeles
Los Angeles,One Wilshire,GI Property Management,624 South Grand Avenue,90017,Los Angeles
Los Angeles,Equinix LA2,Equinix,818 W 7th Street,90017,Los Angeles
Los Angeles,Cogent Data Center - Los Angeles,"Cogent Communications, Inc.",530 W 6th St,90017,Los Angeles
Los Angeles,Cogent Data Center - Pasadena,"Cogent Communications, Inc.",2947  Bradley Street,91107,Pasadena
Los Angeles,DataBank LAX1 - Los Angeles One Wilshire,DataBank,624 South Grand Avenue,90017,Los Angeles
Los Angeles,Colocation America LADC4,Colocation America,530 W. 6th St,90017,Los Angeles
Los Angeles,Converge Technology Solutions Data Center,Converge Technology Solutions,30077 Agoura Ct,91301,Agoura Hills
Los Angeles,Colocation America LADC5,Colocation America,650 S. Grand Ave,90017,Los Angeles
Los Angeles,Colocation America LADC2,Colocation America,707 Wilshire Blvd,90017,Los Angeles
Los Angeles,Alchemy Downtown Data Center,"Dynascale, Inc.",1200 West 7th Street,90017,Los Angeles
Los Angeles,Crown Castle Los Angeles LA1,CROWN CASTLE,624 S Grand Ave,90017,Los Angeles
Los Angeles,Equinix LA7,Equinix,1501 Francisco Street,90501,Torrance
Los Angeles,Equinix LA3,Equinix,1920 E Maple Ave,90245,El Segundo
Los Angeles,Psychz Los Angeles,Psychz Networks,700 Wilshire Blvd,90017,Los Angeles
Los Angeles,Evocative LAX14,Evocative Data Centers,3690 Redondo Beach Avenue,90278,Redondo Beach
Los Angeles,UnitedLayer Los Angeles,"UnitedLayer, Inc.",624 S Grand Ave,90017,Los Angeles
Los Angeles,ColoCrossing LA1,ColoCrossing,1200 W 7th Street,90017,Los Angeles
Los Angeles,CoreSite One Wilshire (LA1),CoreSite,624 South Grand Avenue,90017,Los Angeles
Los Angeles,Crown Castle Los Angeles LA2,CROWN CASTLE,609 W 7th St,90017,Los Angeles
Los Angeles,Cogent Data Center - La Mirada,"Cogent Communications, Inc.",16680 Valley View Avenue,90638,La Mirada
Los Angeles,Equinix LA1,Equinix,600 West 7th Street,90017,Los Angeles
Los Angeles,CoreSite Los Angeles (LA2),CoreSite,900 North Alameda,90017,Los Angeles
Los Angeles,Xfernet Data Center,Xfernet,3250 Wilshire Blvd,90010,Koreatown
Los Angeles,One Data Center Ontario,One Data Center America,350 S Milliken Ave,91761,Ontario
Los Angeles,Evocative LAX2,Evocative Data Centers,600 W 7th Street,90017,Los Angeles
Los Angeles,DigiCo Los Angeles LAX1,DigiCo Infrastructure REIT,1977 Saturn St,91755,Monterey Park
Los Angeles,Subrigo - 650 South Grand,Subrigo,650 South Grand Avenue,90017,Los Angeles
Los Angeles,Cogent Data Center - Burbank,"Cogent Communications, Inc.",100 S Flower St,91502,Burbank
Los Angeles,Aon Center,Shorenstein,707 Wilshire Boulevard,90017,Los Angeles
Los Angeles,TELEHOUSE Los Angeles Center,Telehouse America,626 Wilshire Boulevard,90017,Los Angeles
Los Angeles,QuadraNet Los Angeles,QuadraNet.com,530 W. 6th St.,90014,Los Angeles
Los Angeles,Goodman LAX01,Goodman,3094 E Vernon Ave,90058,Vernon
Los Angeles,Centersquare - Los Angeles LAX2,Csquare,3015 Winona Avenue,91504,Burbank
Los Angeles,Colocation America LADC1,Colocation America,624 South Grand Avenue,90017,Los Angeles
Los Angeles,CoreSite Los Angeles (LA3),CoreSite,260 Bauchet St.,90012,Los Angeles
Los Angeles,365 Data Centers - Los Angeles 1,365 Data Centers,600 W 7th St.,90017,Los Angeles
Los Angeles,Vernon Data Center,"Downtown Properties Holdings, LLC",5001 S. Soto Street,90058,Vernon
Los Angeles,Fireline Broadband Data Center,Fireline Broadband,5900 Wilshire Blvd,90036,Los Angeles
Los Angeles,Edge Centres EC101 Los Angeles,Edge Centres,707 Wilshire Blvd.,90017,Los Angeles
Los Angeles,Alchemy LAX Data Center,"Dynascale, Inc.",6171 West Century Blvd,90045,Los Angeles
Los Angeles,Crown Castle Los Angeles LA3,CROWN CASTLE,530 W 6th St,90017,Los Angeles
Los Angeles,DataBank - 707 Wilshire Blvd,DataBank,707 Wilshire Blvd,90017,Los Angeles
Los Angeles,Aptum Los Angeles,Aptum,360 E 2nd Street,90017,Los Angeles
Los Angeles,One Data Center America,One Data Center America,3833 Ebony St,91761,Ontario
Los Angeles,365 Data Centers - Los Angeles 2,365 Data Centers,624 South Grand Ave,90017,Los Angeles
Los Angeles,Windstream Los Angeles,Windstream,530 West 6th St,90014,Los Angeles
Los Angeles,365 Data Centers - Los Angeles 3,365 Data Centers,900 N. Alameda St,90012,Los Angeles
Los Angeles,Spectrum Networks El Segundo,Spectrum,2345 Alaska Ave,90245,El Segundo
Los Angeles,818 West 7th Street,"Downtown Properties Holdings, LLC",818 West 7th Street,90017,Los Angeles
Los Angeles,DigiCo Los Angeles LAX2,DigiCo Infrastructure REIT,1980 Saturn St,91755,Monterey Park
Los Angeles,Lumen Los Angeles,Lumen,818 W. 7th Street,90017,Los Angeles
Los Angeles,Quinby Building,Quinby Building,650 South Grand Avenue,90017,Los Angeles
Los Angeles,Telecom Center LA,BGC Group,530 West 6th Street,90017,Los Angeles
Los Angeles,Long Beach Data Center,Long Beach Data Center,3910 E 7th St,90804,Long Beach
Los Angeles,NocRoom Los Angeles Colocation,NocRoom Miami Colocation VPS,530 W 6th Street Penthouse,90014,Los Angeles
Los Angeles,Hostrunway Los Angeles,Hostrunway,900 N Alameda St #200,90012,Los Angeles
Los Angeles,611 Wilshire,Xyvest Holdings,611 Wilshire Blvd,90017,Los Angeles
Los Angeles,IHNetworks Datacenter (SFV1),"IHNetworks, LLC",20339 Nordhoff Street,91311,Chatsworth
Los Angeles,China Telecom One Wilshire,China Telecom Americas,624 S Grand Ave,90017,Los Angeles
Los Angeles,WebNX Los Angeles,WebNX Internet Services,530 W 6th St,90017,Los Angeles
Los Angeles,Subrigo - 624 South Grand,Subrigo,624 South Grand Avenue,90017,Los Angeles
Los Angeles,Lumen Los Angeles 4,Lumen,600 Wilshire Blvd,90017,Los Angeles
Chicago,350 East Cermak Road (ORD10),Digital Realty,350 East Cermak Road,60616,Chicago
Chicago,600 S. Federal St. (ORD11),Digital Realty,600 South Federal Street,60605,Chicago
Chicago,505 N. Railroad Avenue (ORD23),Digital Realty,505 North Railroad Avenue,60164,Northlake
Chicago,2200 Busse Road (CH1),Digital Realty,2200 Busse Road,60007,Elk Grove Village
Chicago,9355 Grand Ave (ORD13),Digital Realty,9355 Grand Ave,60131,Franklin Park
Chicago,9333 Grand Avenue (ORD12),Digital Realty,9333 Grand Avenue,60131,Franklin Park
Chicago,1400 East Devon Avenue (CH3),Digital Realty,1400 East Devon Avenue,60007,Elk Grove Village
Chicago,9377 Grand Ave (ORD14),Digital Realty,9377 Grand Ave,60131,Franklin Park
Chicago,2425-2553 Edgington Street (ORD22),Digital Realty,2425-2553 Edgington St,60131,Franklin Park
Chicago,2299 Busse Road (CH2),Digital Realty,2299 Busse Road,60007,Elk Grove Village
Chicago,9401 West Grand Avenue (ORD15),Digital Realty,9401 W Grand Ave,60131,Franklin Park
Chicago,Hivelocity - Chicago 1,Hivelocity,350 East Cermak Road,60616,Chicago
Chicago,CyrusOne CHI5 - Lombard,CyrusOne Data Centers,1850 Springers Drive,60148,Lombard
Chicago,GDC - Chicago CH1 Data Center,"NTT DATA, Inc.",255 Pierce Road,60143,Itasca
Chicago,CyrusOne CHI2 - Aurora,CyrusOne Data Centers,2805 Diehl Rd,60502,Aurora
Chicago,Summit Elk Grove Village,Summit (formerly Deft),2200 Busse Rd,60007,Elk Grove Village
Chicago,Centersquare - Chicago ORD4-A,Csquare,4513 Western Ave,60532,Lisle
Chicago,T5 Data Centers - T5@Chicago,T5 Data Centers,200 Innovation Dr,60007,Elk Grove Village
Chicago,Serverfarm Chicago Data Center CH1,Serverfarm,840 S. Canal Street,60607,Chicago
Chicago,Netrality - 717 S Wells,Netrality,717 S. Wells,60607,Chicago
