RegionID,SizeRank,ZipCode,RegionType,StateName,State,City,Metro,CountyName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
84630,12,60629,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,95713.49223756953,107162.32275291433,119049.6963926885,133986.13523466457,150418.13096719593,172034.4830582821,191555.49311013892,195954.612062264,178186.78196451077,136962.82291416285,117258.84917261766,101680.24923534977,91119.90657911287,96488.19188276421,110717.68186035867,123166.09276064183,137945.6603966515,151018.93825761168,165579.7863679836,173997.9165419338,187107.23764303335,215019.7729896838,232049.81112960682,227004.61950933983,240388.79833889785,255095.58694765499
84620,33,60618,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,219449.1637470804,260295.90631056856,284718.05605168355,309623.80437665636,338415.24478831835,377121.64176744263,403864.22741805017,409398.870216374,393249.37751169415,348950.70185584284,324449.8579343918,301685.1957073758,290452.5386182535,320882.2456407535,365791.0392915881,388305.7766106759,408332.32616429287,422978.48622508044,439923.50958956796,438920.5813421779,444327.6909123214,474257.39445190557,489498.56011671503,484584.54330012226,493562.20293018525,507859.0479917766
84639,41,60639,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,97738.09954665822,113703.02723517234,128748.2052786365,145003.0356010976,163521.84000209608,185899.7374791969,203315.97775790186,208777.76545871093,187762.67743529208,138122.5905639176,116554.12814865967,105705.25792036824,103894.05671861708,116073.56034288299,143972.0721055976,160744.00241954174,182293.05209040226,200408.1016825275,221096.81576908592,232965.96254502865,244620.31016533673,272573.37598946196,283918.82460758317,280044.93417085794,295047.2780048385,305327.4137829035
84646,58,60647,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,219964.99685473848,257898.650842413,286908.5513334388,312085.1677064334,340778.4986667387,379001.9761553309,411828.04564673995,418826.76469759556,406899.0441161284,368674.79794788564,350236.2268020475,324034.87885225465,306655.2083958074,342698.48395926325,393715.2665089509,426783.9431320003,453962.25510034384,466293.74487250374,484052.7454313761,482521.927202299,486474.1605784429,511886.955370348,518738.78050606145,505046.20288010006,507683.51251115324,511666.3243992846
84693,65,60804,zip,IL,IL,Cicero,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,93005.67809040924,103218.316777147,115354.55295866774,130892.02957623759,146123.456245045,163009.99808394923,179086.34270781957,183748.94754174026,162472.6144996445,116302.42320726275,98099.16775410842,85502.47558507496,71981.16107633432,74315.06283891725,93397.388756447,106511.62502303584,124406.35429016175,142786.32195745324,158784.00351741916,171448.75798732633,181820.21265846383,206984.79185150625,227738.39817831793,226821.8043221666,240531.99820623992,252021.59445947866
84633,74,60632,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,104622.803893207,117117.59717082525,129718.49398213076,145076.89839684518,163203.71035937467,186586.1744079965,207791.03976684142,208776.63076448368,190455.31605918935,150740.13259639483,126368.13609215034,112691.62004944183,101035.51379361108,103179.64290809387,118486.54503485333,132970.9354016944,147847.17394015708,159687.63326245442,174762.908149594,181975.21773994292,195006.05050306383,221249.3500087358,238780.94518785735,236959.70586235842,253090.1367996235,264454.70667836483
84619,79,60617,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,64884.900343842535,69735.73738690038,75432.5973201224,80750.80507233519,88504.58544167678,99770.35338200857,112218.16537503693,118111.5724199686,111776.76804757875,98397.37719421151,89607.51423975312,78709.90569007427,66438.1509033586,64888.816612455885,71605.97269925733,78352.73556683883,89130.84856541659,99431.75319212147,114325.35156680601,119777.5324391135,127156.61592007657,151764.0109471985,164018.92418297552,156878.26666313715,164427.06802751392,165732.94442250926
84610,99,60608,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,158288.17194334243,181644.53948667008,206952.1416316285,224916.43692628774,251772.88354089635,282420.2150662873,314621.0600632012,325374.4599817786,309276.06883449724,274332.92880727025,248298.0211871476,217884.54757093126,196131.78607710233,214436.9823491196,237847.85569051016,251382.14979949116,272114.95735218516,278928.4992771388,291579.97271145834,298966.9360995389,310535.57433661964,331425.92850012187,341560.8189603929,338838.8948601711,341208.00077873975,341590.5837521009
84627,106,60625,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,160457.3387689351,189123.88058311507,208912.517991895,229580.67595876727,253770.00013610025,287456.06686611153,311248.0208165199,311313.7394108467,297555.26085222175,262751.84223887284,243376.71647128824,222383.22980714965,212633.90400843226,234182.55327947251,269715.1139078054,282522.4255247852,293256.553417505,301666.1216751802,317224.57461547165,315761.60699107364,319981.30332250864,340612.59421757277,348874.3816045955,354132.25137106417,367612.75126362307,377082.7519519667
84625,110,60623,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,90062.14212446152,101175.1517965541,113040.07607414234,123618.09719540384,137809.00193816924,156657.68159430285,175938.08658792582,179215.5502864006,166713.07321481724,126800.56702736543,85005.51967503653,65424.12444773627,55260.62773036115,54668.649706942735,65453.590161257074,78679.16956334867,95216.03219851152,103775.27734626703,125430.531099225,136657.56528462167,152369.7269717335,177623.42751858124,188305.95329340582,187656.13257835692,201121.55596752616,208169.46811548984
84635,131,60634,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,143969.04625738275,166445.76706326182,186527.51385993208,203589.4313935146,224844.73294670615,254343.24170283225,279699.7715720724,280715.5752618842,254944.1735690001,207693.0275600145,185175.32644993567,165347.83312976893,155755.38990113625,170409.96231436217,199649.73265810474,215260.19094181215,228930.8273137368,241567.00078583576,256992.9619315226,261370.65874565125,268546.7931279119,297215.1146833804,312060.93822973326,315398.88794380834,333246.8969276609,344718.54968774336
84654,180,60657,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,273624.07238834695,309806.4961268215,335913.78616915626,353833.67291098996,369703.29748391424,393546.2690950522,416079.6912104977,417222.1493555761,402043.45431326353,371796.22551994724,362312.87445405795,342786.2522548582,324789.2854485388,344649.0339579436,378593.8667847709,387746.2274401803,396619.186633162,407419.6932341005,412726.41562378564,401563.43796583585,398940.98701536417,411483.35800276883,423957.7855473778,423673.14989125537,442725.03380467714,460911.03937935526
