facility,operator,street,zip_code,city
CloudHQ ORD Campus,CloudHQ,1200 E Algonquin Rd,60016,Des Plaines
Ascent CH2,Ascent,505 N Railroad Ave,60164,Northlake
Equinix CH3,Equinix,1905 Lunt Avenue,60007,Elk Grove Village
CoreSite Chicago (CH2),CoreSite,1432 S Clinton St.,60607,Chicago
STACK Infrastructure CHI02,STACK INFRASTRUCTURE,1830 Jarvis Ave,60007,Elk Grove Village
Rackspace Chicago,Rackspace Hosting,2200 Busse Road,60007,Elk Grove Village
Chirisa Chirisa Volo Technology Park YLO-02,Chirisa,300 South Fish Lake Rd,60073,Volo
Chirisa Chirisa Volo Technology Park YLO-01,Chirisa,300 South Fish Lake Rd,60073,Volo
Chicago Board of Trade Building,"Apollo Global Management, Inc.",141 West Jackson,60604,Chicago
1808 Swift Drive,CenterPoint Properties,1808 Swift Drive,60523,Oak Brook
360TCS Data Center,360 Technology Center Solutions,360 E. 22nd St.,60148,Lombard
Centersquare - Chicago ORD1-B,Csquare,350 East Cermak,60609,Chicago
XNet Critical Computing Facility,"XNet Information Systems, Inc.",3080 Ogden Ave,60532,Lisle
NetSource Naperville 1,"NetSource Communications, Inc.",2368 Corporate Lane,60563,Naperville
Midway Technology Center,1547 Critical Systems Realty,40 E Garfield Blvd,60615,Chicago
Aligned ORD-04,Aligned Data Centers,150 NW Point Blvd,60007,Elk Grove Village
CloudHQ ORD3,CloudHQ,1200 E Algonquin Rd,60016,Des Plaines
Naperville Data Center,KARIS Critical,1940 Lucent Ln,60563,Naperville
Aligned ORD-03,Aligned Data Centers,50 NW Point Blvd,60007,Elk Grove Village
CloudHQ ORD1,CloudHQ,1200 E Algonquin Rd,60016,Des Plaines
Microsoft Hoffman Estates - Building 2,Microsoft,Lakewood Blvd,60192,Hoffman Estates
Microsoft Hoffman Estates - Building 1,Microsoft,Lakewood Blvd,60192,Hoffman Estates
Microsoft Elk Grove Campus,Microsoft,"Elk Grove Technology Park, Innovation Dr & Oakton St",60007,Elk Grove Village
Microsoft Hoffman Estates Campus,Microsoft,Lakewood Blvd,60192,Hoffman Estates
T5 Data Centers - T5@Grayslake Campus,T5 Data Centers,30907 N Alleghany Rd,60030,Grayslake
Chirisa Volo Technology Park,Chirisa,300 South Fish Lake Rd,60073,Volo
Stream DC Chicago III,Stream Data Centers,2000 Landmeier Rd,60007,Elk Grove Village
T5 Data Centers - T5@Chicago lll,T5 Data Centers,11650 W Grand Ave,60164,Northlake
T5 Data Centers - T5@Chicago V,T5 Data Centers,within,Elk Grove Village,TBA
ColoHouse Chicago Cermak,ColoHouse,350 E Cermak,60616,Chicago
CloudHQ ORD2,CloudHQ,1200 E Algonquin Rd,60016,Des Plaines
Aligned ORD-02,Aligned Data Centers,505 Northwest Avenue,60164,Northlake
ColoHouse Chicago Wells,ColoHouse,725 S Wells Street,60607,Chicago
FDCservers.net,FDCservers.net LLC,141 West Jackson Blvd.,60604,Chicago
HW Technology Park,Hillwood Development Company,Millsdale Rd / Schweitzer Rd,60421,Joliet
Colovore ORD01,Colovore,within,"Aurora, 41 miles from Chicago",TBA
Equinix CH5,Equinix,2001 Lunt Ave,60007,Elk Grove Village
EdgeConneX Chicago - EDCCHI01,EdgeConneX,1800 Nicholas Blvd,60007,Elk Grove Village
Chicago Exchange,Menlo Digital,601 W. Polk St,60605,Chicago
CDC - Chicago CH5 Data Center,"NTT DATA, Inc.",1250 N Arlington Heights Rd,60143,Itasca
LexisNexis Oak Brook,LexisNexis,1808 Swift Dr,60523,Oak Brook
Edged Chicago ORD1,Edged Energy,2815 Bilter Rd,60502,Aurora
8080 S DuSable Lake Shore Drive,Related Digital,8080 S DuSable Lake Shore Dr,60617,Chicago
Connect Chicago,Connect Data Centers by Oppidan,245 Kehoe Blvd,60188,Carol Stream
Edged Chicago ORD3,Edged Energy,2725 Bilter Rd,60502,Aurora
Edged Chicago ORD2,Edged Energy,2835 Bilter Rd,60502,Aurora
216 West Jackson Boulevard,"Baum Realty Group, LLC",216 W Jackson Blvd,60606,Chicago
365 Data Centers - Chicago 2,365 Data Centers,350 East Cermak Road,60623,Chicago
GDC - Chicago CH4 Data Center,"NTT DATA, Inc.",1200 N Arlington Heights Rd,60143,Itasca
Edged Chicago Campus,Edged Energy,2725-2815 Bilter Rd,60502,Aurora
Microsoft Elk Grove - Building 3,Microsoft,"Elk Grove Technology Park, Innovation Dr & Oakton St",60007,Elk Grove Village
Microsoft Hoffman Estates - Building 4,Microsoft,Lakewood Blvd,60192,Hoffman Estates
Microsoft Plano (IL),Microsoft,Eldamain Rd & Corneils Rd,60545,Plano
Microsoft Hoffman Estates - Building 3,Microsoft,Lakewood Blvd,60192,Hoffman Estates
KARIS Hoffman Estates,KARIS Critical,Higgins Rd & Illinois Rte 59,60010,Hoffman Estates
Chicago Campus,Aligned Data Centers,505 Northwest Avenue,60164,Northlake
Microsoft Elk Grove - Building 2,Microsoft,"Elk Grove Technology Park, Innovation Dr & Oakton St",60007,Elk Grove Village
NTT Chicago Campus,"NTT DATA, Inc.",255-275 Pierce Rd,60143,Itasca
Meta DeKalb Campus,Meta,1550-2050 Metaverse Wy,60115,DeKalb
KARIS DeKalb Campus,KARIS Critical,Gurler Rd & Peace Rd,60115,DeKalb
WOWaccess Data Center,WOWaccess,184 Shuman Blvd,60563,Naperville
Microsoft Elk Grove - Building 1,Microsoft,"Elk Grove Technology Park, Innovation Dr & Oakton St",60007,Elk Grove Village
Lumen Chicago 3,Lumen,200 N LaSalle St,60601,Chicago
Compass Hoffman Estates,Compass Datacenters,3333 Beverly Rd,60179,Hoffman Estates
DLS Internet LITH,DLS Internet Services,950 E. Oak Street,60156,Lake in the Hills
Axon Datacenter,Axon Datacenters,7093 Barry St,60018,Rosemont
Lumen South Holland 1,Lumen,200 E 166th St,60473,South Holland
CyrusOne CHI3 - Aurora Campus,CyrusOne Data Centers,2725 Bilter Rd,60502,Aurora
CBTS Lombard Data Center I,CBTS,1850 W Springer,60148,Lombard
Hostrunway Lombard,Hostrunway,1850 Springer Dr,60148,Lombard
Volico Chicago,Volico Data Center,350 E Cermak Rd,60616,Chicago
GigeNET Chicago,Gigenet,545 E. Algonquin Rd.,60005,Arlington Heights
NetSource Naperville 2,"NetSource Communications, Inc.",1717 Park St.,60563,Naperville
NaviSite Oak Brook,"NaviSite, Inc.",800 Jorie Blvd,60523,Oak Brook
CyrusOne CHI3 - Building 1,CyrusOne Data Centers,2725 Bilter Rd,60502,Aurora
427 LaSalle,CoreSite,427 South LaSalle Street,60605,Chicago
CyrusOne CHI3 - Building 2,CyrusOne Data Centers,2725 Bilter Rd,60502,Aurora
Sinch Data Center,Sinch,717 S Wells St,60607,Chicago
Lumen 350 E Cermak,Lumen,350 E Cermark Road,60616,Chicago
Lumen Chicago,Lumen,111 N Canal St,60606,Chicago
Synoptek - Chicago Data Center,Synoptek,350 East Cermak Road,60616,Chicago
360 East 22nd Street,360E 22nd LLC,360 East 22nd Street,60148,Lombard
NaviSite Chicago,"NaviSite, Inc.",725 S Wells,60610,Chicago
Meta DeKalb - Building 6,Meta,1550 Metaverse Wy,60115,DeKalb
Lumen Broadview 1,Lumen,2101 Roberts Drive,60155,Broadview
Meta DeKalb - Building 2,Meta,2050 Metaverse Wy,60115,DeKalb
Lumen Chicago 4,Lumen,600 West Chicago Ave.,60610,Chicago
Meta DeKalb - Building 3,Meta,1750 Metaverse Wy,60115,DeKalb
Meta DeKalb - Building 4,Meta,1750 Metaverse Wy,60115,DeKalb
Meta DeKalb - Building 1,Meta,2050 Metaverse Wy,60115,DeKalb
Lumen Arlington Heights 1,Lumen,"1305 E. Algonquin Avenue,",60005,Arlington Heights
Meta DeKalb - Building 5,Meta,1550 Metaverse Wy,60115,DeKalb
Lumen Chicago 5,Lumen,600 S. Federal,60605,Chicago
DLS Internet 216 Jackson,DLS Internet Services,216 West Jackson Blvd,60606,Chicago
Hostway Boeing Data Center,"Hostway Services, Inc",100 North Riverside Plaza,60606,Chicago
CBTS Lombard Data Center II,CBTS,564 Winter Lane,60148,Lombard
Lumen Chicago 2,Lumen,900 N. Kingsbury Street,60610,Chicago
